4996 records sent, 999.0 records/sec (0.98 MB/sec), 95.7 ms avg latency, 1249.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 28.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.9 ms avg latency, 9.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 9.0 ms max latency.
4999 records sent, 999.8 records/sec (0.98 MB/sec), 5.0 ms avg latency, 28.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 4.9 ms avg latency, 9.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 4.9 ms avg latency, 11.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.9 ms avg latency, 21.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 11.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5000 records sent, 999.8 records/sec (0.98 MB/sec), 4.9 ms avg latency, 39.0 ms max latency.
5007 records sent, 1000.6 records/sec (0.98 MB/sec), 4.8 ms avg latency, 34.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 4.8 ms avg latency, 22.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 4.8 ms avg latency, 9.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 4.8 ms avg latency, 23.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 4.8 ms avg latency, 30.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 4.9 ms avg latency, 28.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 4.9 ms avg latency, 19.0 ms max latency.
100000 records sent, 999.650122 records/sec (0.98 MB/sec), 9.40 ms avg latency, 1249.00 ms max latency, 5 ms 50th, 7 ms 95th, 343 ms 99th, 408 ms 99.9th.
