4994 records sent, 998.8 records/sec (0.98 MB/sec), 88.5 ms avg latency, 1228.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 5.0 ms avg latency, 11.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 11.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 12.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 10.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 26.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 4.8 ms avg latency, 10.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 17.0 ms max latency.
4999 records sent, 999.8 records/sec (0.98 MB/sec), 4.6 ms avg latency, 10.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 4.8 ms avg latency, 15.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 4.7 ms avg latency, 11.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 12.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 4.7 ms avg latency, 10.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 10.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5005 records sent, 1000.6 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 4.7 ms avg latency, 18.0 ms max latency.
4997 records sent, 999.4 records/sec (0.98 MB/sec), 4.8 ms avg latency, 21.0 ms max latency.
100000 records sent, 999.360409 records/sec (0.98 MB/sec), 8.96 ms avg latency, 1228.00 ms max latency, 5 ms 50th, 7 ms 95th, 329 ms 99th, 378 ms 99.9th.
