2019 records sent, 403.8 records/sec (39.43 MB/sec), 404.8 ms avg latency, 1425.0 ms max latency.
4768 records sent, 953.6 records/sec (93.13 MB/sec), 6.9 ms avg latency, 43.0 ms max latency.
5304 records sent, 1060.8 records/sec (103.59 MB/sec), 6.3 ms avg latency, 37.0 ms max latency.
5355 records sent, 1071.0 records/sec (104.59 MB/sec), 5.4 ms avg latency, 35.0 ms max latency.
6567 records sent, 1312.4 records/sec (128.16 MB/sec), 6.0 ms avg latency, 36.0 ms max latency.
5996 records sent, 1199.0 records/sec (117.09 MB/sec), 5.1 ms avg latency, 40.0 ms max latency.
5000 records sent, 999.8 records/sec (97.64 MB/sec), 3.7 ms avg latency, 26.0 ms max latency.
5002 records sent, 1000.4 records/sec (97.70 MB/sec), 3.7 ms avg latency, 34.0 ms max latency.
5002 records sent, 1000.4 records/sec (97.70 MB/sec), 3.8 ms avg latency, 30.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 4.1 ms avg latency, 30.0 ms max latency.
5002 records sent, 1000.4 records/sec (97.70 MB/sec), 3.7 ms avg latency, 29.0 ms max latency.
5002 records sent, 1000.2 records/sec (97.68 MB/sec), 4.0 ms avg latency, 43.0 ms max latency.
4998 records sent, 999.6 records/sec (97.62 MB/sec), 22.2 ms avg latency, 277.0 ms max latency.
5003 records sent, 1000.6 records/sec (97.71 MB/sec), 21.2 ms avg latency, 493.0 ms max latency.
4996 records sent, 998.4 records/sec (97.50 MB/sec), 4.0 ms avg latency, 42.0 ms max latency.
5009 records sent, 1001.8 records/sec (97.83 MB/sec), 3.7 ms avg latency, 32.0 ms max latency.
5000 records sent, 1000.0 records/sec (97.66 MB/sec), 3.7 ms avg latency, 30.0 ms max latency.
5002 records sent, 1000.4 records/sec (97.70 MB/sec), 4.0 ms avg latency, 33.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 4.1 ms avg latency, 33.0 ms max latency.
100000 records sent, 999.530221 records/sec (97.61 MB/sec), 14.31 ms avg latency, 1425.00 ms max latency, 4 ms 50th, 16 ms 95th, 336 ms 99th, 964 ms 99.9th.
