3303 records sent, 660.1 records/sec (64.46 MB/sec), 10.4 ms avg latency, 719.0 ms max latency.
4632 records sent, 926.4 records/sec (90.47 MB/sec), 6.3 ms avg latency, 63.0 ms max latency.
4516 records sent, 903.2 records/sec (88.20 MB/sec), 7.4 ms avg latency, 67.0 ms max latency.
4727 records sent, 945.2 records/sec (92.31 MB/sec), 6.6 ms avg latency, 50.0 ms max latency.
6595 records sent, 1319.0 records/sec (128.81 MB/sec), 7.8 ms avg latency, 52.0 ms max latency.
6220 records sent, 1244.0 records/sec (121.48 MB/sec), 8.2 ms avg latency, 60.0 ms max latency.
5023 records sent, 1004.6 records/sec (98.11 MB/sec), 7.0 ms avg latency, 61.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 5.1 ms avg latency, 37.0 ms max latency.
4996 records sent, 998.6 records/sec (97.52 MB/sec), 7.1 ms avg latency, 86.0 ms max latency.
5008 records sent, 1001.4 records/sec (97.79 MB/sec), 6.9 ms avg latency, 57.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 5.8 ms avg latency, 211.0 ms max latency.
5007 records sent, 1001.4 records/sec (97.79 MB/sec), 5.1 ms avg latency, 36.0 ms max latency.
4998 records sent, 999.6 records/sec (97.62 MB/sec), 20.2 ms avg latency, 323.0 ms max latency.
5008 records sent, 1001.6 records/sec (97.81 MB/sec), 6.3 ms avg latency, 125.0 ms max latency.
4994 records sent, 998.6 records/sec (97.52 MB/sec), 5.7 ms avg latency, 42.0 ms max latency.
5006 records sent, 1001.2 records/sec (97.77 MB/sec), 6.7 ms avg latency, 55.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 5.5 ms avg latency, 53.0 ms max latency.
4990 records sent, 997.6 records/sec (97.42 MB/sec), 6.0 ms avg latency, 45.0 ms max latency.
5017 records sent, 1003.2 records/sec (97.97 MB/sec), 7.0 ms avg latency, 52.0 ms max latency.
100000 records sent, 999.740068 records/sec (97.63 MB/sec), 7.30 ms avg latency, 719.00 ms max latency, 4 ms 50th, 21 ms 95th, 47 ms 99th, 142 ms 99.9th.
