4130 records sent, 826.0 records/sec (80.66 MB/sec), 20.3 ms avg latency, 655.0 ms max latency.
5845 records sent, 1167.6 records/sec (114.02 MB/sec), 11.9 ms avg latency, 94.0 ms max latency.
5020 records sent, 1003.8 records/sec (98.03 MB/sec), 8.6 ms avg latency, 43.0 ms max latency.
5015 records sent, 1002.6 records/sec (97.91 MB/sec), 8.8 ms avg latency, 61.0 ms max latency.
4993 records sent, 998.6 records/sec (97.52 MB/sec), 8.3 ms avg latency, 50.0 ms max latency.
5007 records sent, 1001.0 records/sec (97.75 MB/sec), 8.0 ms avg latency, 68.0 ms max latency.
5006 records sent, 1001.2 records/sec (97.77 MB/sec), 8.7 ms avg latency, 98.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 9.0 ms avg latency, 84.0 ms max latency.
5005 records sent, 1000.8 records/sec (97.73 MB/sec), 7.6 ms avg latency, 52.0 ms max latency.
5000 records sent, 1000.0 records/sec (97.66 MB/sec), 8.1 ms avg latency, 45.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 8.7 ms avg latency, 69.0 ms max latency.
5003 records sent, 1000.6 records/sec (97.71 MB/sec), 8.1 ms avg latency, 50.0 ms max latency.
4966 records sent, 993.2 records/sec (96.99 MB/sec), 16.2 ms avg latency, 128.0 ms max latency.
5007 records sent, 1001.4 records/sec (97.79 MB/sec), 14.0 ms avg latency, 173.0 ms max latency.
5030 records sent, 1006.0 records/sec (98.24 MB/sec), 8.2 ms avg latency, 217.0 ms max latency.
4977 records sent, 995.4 records/sec (97.21 MB/sec), 8.4 ms avg latency, 81.0 ms max latency.
5031 records sent, 1005.8 records/sec (98.22 MB/sec), 7.6 ms avg latency, 54.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 8.2 ms avg latency, 50.0 ms max latency.
4987 records sent, 997.2 records/sec (97.38 MB/sec), 8.4 ms avg latency, 59.0 ms max latency.
100000 records sent, 999.560194 records/sec (97.61 MB/sec), 9.79 ms avg latency, 655.00 ms max latency, 7 ms 50th, 23 ms 95th, 60 ms 99th, 141 ms 99.9th.
