1610 records sent, 321.9 records/sec (31.44 MB/sec), 583.5 ms avg latency, 1423.0 ms max latency.
3966 records sent, 793.0 records/sec (77.45 MB/sec), 9.7 ms avg latency, 59.0 ms max latency.
4321 records sent, 864.2 records/sec (84.39 MB/sec), 10.1 ms avg latency, 56.0 ms max latency.
4603 records sent, 920.6 records/sec (89.90 MB/sec), 8.7 ms avg latency, 36.0 ms max latency.
4933 records sent, 986.4 records/sec (96.33 MB/sec), 9.1 ms avg latency, 81.0 ms max latency.
6339 records sent, 1267.5 records/sec (123.78 MB/sec), 10.4 ms avg latency, 68.0 ms max latency.
6264 records sent, 1252.8 records/sec (122.34 MB/sec), 10.6 ms avg latency, 58.0 ms max latency.
6212 records sent, 1241.4 records/sec (121.23 MB/sec), 10.2 ms avg latency, 66.0 ms max latency.
6406 records sent, 1281.2 records/sec (125.12 MB/sec), 9.6 ms avg latency, 69.0 ms max latency.
5369 records sent, 1073.8 records/sec (104.86 MB/sec), 6.9 ms avg latency, 41.0 ms max latency.
4957 records sent, 991.2 records/sec (96.80 MB/sec), 7.0 ms avg latency, 60.0 ms max latency.
5049 records sent, 1009.8 records/sec (98.61 MB/sec), 6.2 ms avg latency, 54.0 ms max latency.
4991 records sent, 998.2 records/sec (97.48 MB/sec), 22.2 ms avg latency, 229.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 10.7 ms avg latency, 124.0 ms max latency.
5003 records sent, 1000.6 records/sec (97.71 MB/sec), 7.4 ms avg latency, 47.0 ms max latency.
5005 records sent, 1001.0 records/sec (97.75 MB/sec), 6.4 ms avg latency, 33.0 ms max latency.
5006 records sent, 1001.2 records/sec (97.77 MB/sec), 6.2 ms avg latency, 33.0 ms max latency.
4998 records sent, 999.6 records/sec (97.62 MB/sec), 7.5 ms avg latency, 72.0 ms max latency.
4995 records sent, 999.0 records/sec (97.56 MB/sec), 7.0 ms avg latency, 72.0 ms max latency.
100000 records sent, 999.710084 records/sec (97.63 MB/sec), 18.33 ms avg latency, 1423.00 ms max latency, 6 ms 50th, 27 ms 95th, 375 ms 99th, 1131 ms 99.9th.
