2298 records sent, 459.5 records/sec (44.87 MB/sec), 328.4 ms avg latency, 1388.0 ms max latency.
4967 records sent, 993.4 records/sec (97.01 MB/sec), 12.1 ms avg latency, 50.0 ms max latency.
5784 records sent, 1156.8 records/sec (112.97 MB/sec), 11.4 ms avg latency, 49.0 ms max latency.
5732 records sent, 1146.4 records/sec (111.95 MB/sec), 10.5 ms avg latency, 57.0 ms max latency.
6222 records sent, 1244.4 records/sec (121.52 MB/sec), 13.4 ms avg latency, 64.0 ms max latency.
4996 records sent, 999.0 records/sec (97.56 MB/sec), 8.0 ms avg latency, 40.0 ms max latency.
5004 records sent, 1000.8 records/sec (97.73 MB/sec), 8.4 ms avg latency, 40.0 ms max latency.
5007 records sent, 1001.4 records/sec (97.79 MB/sec), 7.9 ms avg latency, 31.0 ms max latency.
5001 records sent, 999.8 records/sec (97.64 MB/sec), 8.0 ms avg latency, 45.0 ms max latency.
5003 records sent, 1000.4 records/sec (97.70 MB/sec), 7.9 ms avg latency, 40.0 ms max latency.
5001 records sent, 1000.0 records/sec (97.66 MB/sec), 7.8 ms avg latency, 41.0 ms max latency.
5002 records sent, 1000.4 records/sec (97.70 MB/sec), 7.9 ms avg latency, 39.0 ms max latency.
4900 records sent, 980.0 records/sec (95.70 MB/sec), 77.2 ms avg latency, 952.0 ms max latency.
5105 records sent, 1021.0 records/sec (99.71 MB/sec), 39.7 ms avg latency, 508.0 ms max latency.
5000 records sent, 999.6 records/sec (97.62 MB/sec), 7.9 ms avg latency, 39.0 ms max latency.
5006 records sent, 1001.2 records/sec (97.77 MB/sec), 8.3 ms avg latency, 35.0 ms max latency.
4999 records sent, 999.8 records/sec (97.64 MB/sec), 8.4 ms avg latency, 44.0 ms max latency.
4996 records sent, 999.2 records/sec (97.58 MB/sec), 8.4 ms avg latency, 54.0 ms max latency.
5005 records sent, 1000.4 records/sec (97.70 MB/sec), 8.2 ms avg latency, 42.0 ms max latency.
100000 records sent, 999.620144 records/sec (97.62 MB/sec), 21.32 ms avg latency, 1388.00 ms max latency, 8 ms 50th, 35 ms 95th, 432 ms 99th, 1038 ms 99.9th.
