"run_id","benchmark_type","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","records_consumed","throughput_records_per_sec","throughput_mb_per_sec","data_consumed_mb","avg_latency_ms","max_latency_ms","rebalance_time_ms","fetch_time_ms","producer_count_observed","producer_throughput_records_per_sec_min","producer_throughput_records_per_sec_max","producer_avg_latency_ms_min","producer_avg_latency_ms_max","interval_summary_count","interval_avg_latency_ms_p95","interval_avg_latency_ms_p99","interval_max_latency_ms_p95","interval_max_latency_ms_p99","telemetry_host_count","benchmark_client_cpu_percent_mean","broker_cpu_percent_mean","broker_cpu_percent_max_mean","benchmark_client_memory_used_percent_mean","broker_memory_used_percent_mean","benchmark_client_network_rx_bytes_delta","benchmark_client_network_tx_bytes_delta","broker_network_rx_bytes_delta_mean","broker_network_tx_bytes_delta_mean","broker_network_rx_bytes_delta_total","broker_network_tx_bytes_delta_total","benchmark_client_disk_read_sectors_delta","benchmark_client_disk_write_sectors_delta","broker_disk_read_sectors_delta_mean","broker_disk_write_sectors_delta_mean","broker_disk_read_sectors_delta_total","broker_disk_write_sectors_delta_total"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial1","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial1","1","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","lz4","null","100000.0","25348.5425","24.7544","97.6563","null","null","1067.0","2878.0","null","null","null","null","null","null","null","null","null","null","6","28.194609375","12.488874299479637","31.546","10.422734375","24.050105599473298","111207559","112764363","68467494.6","68953304.0","342337473","344766520","0","42976","0.0","165448.0","0","827240"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial2","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial2","2","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","lz4","null","100000.0","23629.4896","23.0757","97.6563","null","null","1069.0","3163.0","null","null","null","null","null","null","null","null","null","null","6","29.010390625","12.701131134268188","33.876","10.476015625","24.034284348905114","111166938","112709702","68440740.2","68926011.2","342203701","344630056","0","30104","0.0","163897.6","0","819488"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial3","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial3","3","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","lz4","null","100000.0","24521.8244","23.9471","97.6563","null","null","1189.0","2889.0","null","null","null","null","null","null","null","null","null","null","6","27.913125","12.506546347571051","33.336","10.434140625","24.02432934583316","111170425","112744178","68476459.8","68956806.2","342382299","344784031","0","28088","264.0","162507.2","1320","812536"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial1","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial1","1","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","none","null","100000.0","26574.5416","25.9517","97.6563","null","null","1388.0","2375.0","null","null","null","null","null","null","null","null","null","null","6","26.108846153846155","12.476295199850124","35.122","10.312923076923077","24.050308425505627","111005606","112643119","68270299.8","68727665.8","341351499","343638329","16","30696","352.0","167924.8","1760","839624"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial2","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial2","2","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","none","null","100000.0","28328.6119","27.6647","97.6563","null","null","1184.0","2346.0","null","null","null","null","null","null","null","null","null","null","6","26.68811023622047","13.362338739346644","48.428000000000004","10.27464566929134","24.033235275970895","110954658","112629183","68379990.8","68845191.4","341899954","344225957","0","28712","2790.4","162660.8","13952","813304"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial3","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial3","3","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","none","null","100000.0","25926.8862","25.3192","97.6563","null","null","1121.0","2736.0","null","null","null","null","null","null","null","null","null","null","6","26.688515625","12.287528931923646","31.018","10.2890625","24.03350965461801","110936063","112608504","68370429.8","68836312.2","341852149","344181561","0","27368","203.2","164360.0","1016","821800"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial1","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial1","1","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","lz4","null","100000.0","27480.0769","26.836","97.6563","null","null","1063.0","2576.0","null","null","null","null","null","null","null","null","null","null","6","27.82330708661417","12.70868285922028","34.06","10.395354330708662","24.016824568036977","111107196","112765548","68475921.6","68940547.6","342379608","344702738","0","35904","0.0","164374.4","0","821872"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial2","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial2","2","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","lz4","null","100000.0","27367.2687","26.7258","97.6563","null","null","1056.0","2598.0","null","null","null","null","null","null","null","null","null","null","6","27.1328125","12.303344776822343","30.516","10.477578124999999","24.001898262283454","111036633","112792065","68496728.6","68944834.8","342483643","344724174","0","26576","8.0","165411.2","40","827056"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial3","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial3","3","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","lz4","null","100000.0","29052.8762","28.3719","97.6563","null","null","1030.0","2412.0","null","null","null","null","null","null","null","null","null","null","6","27.57109375","12.342262809816807","31.79","10.443359375","24.029548943719284","111151738","112770830","68460058.2","68934246.8","342300291","344671234","0","42648","680.0","168988.8","3400","844944"
"consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-compnone-trial1","consumer","tls","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-tls-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-compnone-trial1","1","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","none","null","100000.0","29420.4178","28.7309","97.6563","null","null","1042.0","2357.0","null","null","null","null","null","null","null","null","null","null","6","27.71858267716535","12.63185560769428","32.812","10.264409448818897","24.048412589876435","110897453","112569720","68343738.0","68805661.6","341718690","344028308","0","30792","217.6","167748.8","1088","838744"
