producer_index=5
producer_count=12
producer_records=8333
producer_throughput=83
[2026-05-03 00:30:40,678] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.69:9094 (id: -1 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.1 records/sec (0.00 MB/sec), 3179.0 ms avg latency, 3179.0 ms max latency.
1786 records sent, 356.7 records/sec (0.35 MB/sec), 2815.6 ms avg latency, 16478.0 ms max latency.
416 records sent, 82.5 records/sec (0.08 MB/sec), 31.2 ms avg latency, 118.0 ms max latency.
422 records sent, 84.2 records/sec (0.08 MB/sec), 16.5 ms avg latency, 61.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 14.1 ms avg latency, 63.0 ms max latency.
415 records sent, 82.8 records/sec (0.08 MB/sec), 14.2 ms avg latency, 41.0 ms max latency.
417 records sent, 83.3 records/sec (0.08 MB/sec), 12.7 ms avg latency, 27.0 ms max latency.
418 records sent, 83.3 records/sec (0.08 MB/sec), 12.8 ms avg latency, 22.0 ms max latency.
415 records sent, 82.9 records/sec (0.08 MB/sec), 12.7 ms avg latency, 36.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 13.0 ms avg latency, 46.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 11.5 ms avg latency, 25.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 12.1 ms avg latency, 38.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 9.9 ms avg latency, 47.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 11.1 ms avg latency, 46.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 11.7 ms avg latency, 21.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 10.9 ms avg latency, 20.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 10.5 ms avg latency, 20.0 ms max latency.
8333 records sent, 82.974868 records/sec (0.08 MB/sec), 614.47 ms avg latency, 16478.00 ms max latency, 13 ms 50th, 3695 ms 95th, 4065 ms 99th, 4341 ms 99.9th.
