producer_index=8
producer_count=12
producer_records=8333
producer_throughput=83
[2026-05-03 06:02:11,190] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.91:9094 (id: -3 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.1 records/sec (0.00 MB/sec), 3880.0 ms avg latency, 3880.0 ms max latency.
445 records sent, 87.7 records/sec (0.86 MB/sec), 5609.4 ms avg latency, 17835.0 ms max latency.
1223 records sent, 241.1 records/sec (2.35 MB/sec), 7589.0 ms avg latency, 9602.0 ms max latency.
1081 records sent, 215.7 records/sec (2.11 MB/sec), 2888.1 ms avg latency, 8702.0 ms max latency.
417 records sent, 83.2 records/sec (0.81 MB/sec), 36.5 ms avg latency, 76.0 ms max latency.
419 records sent, 83.6 records/sec (0.82 MB/sec), 28.1 ms avg latency, 75.0 ms max latency.
417 records sent, 83.2 records/sec (0.81 MB/sec), 20.2 ms avg latency, 54.0 ms max latency.
416 records sent, 83.1 records/sec (0.81 MB/sec), 14.7 ms avg latency, 51.0 ms max latency.
418 records sent, 83.5 records/sec (0.82 MB/sec), 13.7 ms avg latency, 33.0 ms max latency.
417 records sent, 83.3 records/sec (0.81 MB/sec), 13.6 ms avg latency, 41.0 ms max latency.
414 records sent, 82.7 records/sec (0.81 MB/sec), 12.8 ms avg latency, 32.0 ms max latency.
417 records sent, 83.3 records/sec (0.81 MB/sec), 14.0 ms avg latency, 72.0 ms max latency.
416 records sent, 82.9 records/sec (0.81 MB/sec), 14.6 ms avg latency, 72.0 ms max latency.
418 records sent, 83.5 records/sec (0.82 MB/sec), 12.8 ms avg latency, 54.0 ms max latency.
414 records sent, 82.7 records/sec (0.81 MB/sec), 12.2 ms avg latency, 40.0 ms max latency.
417 records sent, 83.2 records/sec (0.81 MB/sec), 11.9 ms avg latency, 32.0 ms max latency.
416 records sent, 83.2 records/sec (0.81 MB/sec), 11.8 ms avg latency, 26.0 ms max latency.
8333 records sent, 82.851121 records/sec (0.81 MB/sec), 1799.62 ms avg latency, 17835.00 ms max latency, 18 ms 50th, 8227 ms 95th, 9056 ms 99th, 9564 ms 99.9th.
