producer_index=8
producer_count=12
producer_records=8333
producer_throughput=83
[2026-05-03 06:44:12,106] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.69:9094 (id: -1 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.0 records/sec (0.00 MB/sec), 3236.0 ms avg latency, 3236.0 ms max latency.
811 records sent, 159.7 records/sec (1.56 MB/sec), 3952.5 ms avg latency, 22475.0 ms max latency.
967 records sent, 185.6 records/sec (1.81 MB/sec), 6610.1 ms avg latency, 8731.0 ms max latency.
1357 records sent, 270.0 records/sec (2.64 MB/sec), 5394.1 ms avg latency, 10587.0 ms max latency.
417 records sent, 83.3 records/sec (0.81 MB/sec), 57.7 ms avg latency, 136.0 ms max latency.
421 records sent, 83.8 records/sec (0.82 MB/sec), 38.5 ms avg latency, 119.0 ms max latency.
421 records sent, 84.0 records/sec (0.82 MB/sec), 20.9 ms avg latency, 63.0 ms max latency.
417 records sent, 83.2 records/sec (0.81 MB/sec), 16.7 ms avg latency, 52.0 ms max latency.
416 records sent, 83.2 records/sec (0.81 MB/sec), 16.6 ms avg latency, 60.0 ms max latency.
416 records sent, 82.9 records/sec (0.81 MB/sec), 16.8 ms avg latency, 74.0 ms max latency.
417 records sent, 83.3 records/sec (0.81 MB/sec), 16.7 ms avg latency, 58.0 ms max latency.
415 records sent, 83.0 records/sec (0.81 MB/sec), 16.2 ms avg latency, 48.0 ms max latency.
418 records sent, 83.4 records/sec (0.81 MB/sec), 15.2 ms avg latency, 33.0 ms max latency.
416 records sent, 82.9 records/sec (0.81 MB/sec), 13.6 ms avg latency, 53.0 ms max latency.
417 records sent, 83.2 records/sec (0.81 MB/sec), 13.8 ms avg latency, 41.0 ms max latency.
416 records sent, 83.0 records/sec (0.81 MB/sec), 14.2 ms avg latency, 51.0 ms max latency.
8333 records sent, 82.958347 records/sec (0.81 MB/sec), 2043.70 ms avg latency, 22475.00 ms max latency, 24 ms 50th, 8302 ms 95th, 9921 ms 99th, 10586 ms 99.9th.
