run_id=security-overhead-final-factorial-mtls-b3-rf3-isr3-msg102400-tps10000-batch131072-acks1-prod1-complz4-trial1
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-mtls-b3-rf3-isr3-msg102400-tps10000-batch131072-acks1-prod1-complz4-trial1/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=10000
2281 records sent, 456.2 records/sec (44.55 MB/sec), 261.8 ms avg latency, 1255.0 ms max latency.
4760 records sent, 952.0 records/sec (92.97 MB/sec), 5.4 ms avg latency, 41.0 ms max latency.
4696 records sent, 939.2 records/sec (91.72 MB/sec), 3.9 ms avg latency, 27.0 ms max latency.
5913 records sent, 1182.6 records/sec (115.49 MB/sec), 3.8 ms avg latency, 40.0 ms max latency.
6849 records sent, 1369.8 records/sec (133.77 MB/sec), 4.4 ms avg latency, 75.0 ms max latency.
6875 records sent, 1374.7 records/sec (134.25 MB/sec), 6.8 ms avg latency, 105.0 ms max latency.
6413 records sent, 1282.3 records/sec (125.23 MB/sec), 7.1 ms avg latency, 77.0 ms max latency.
6788 records sent, 1357.6 records/sec (132.58 MB/sec), 7.6 ms avg latency, 111.0 ms max latency.
6807 records sent, 1361.4 records/sec (132.95 MB/sec), 7.2 ms avg latency, 79.0 ms max latency.
6902 records sent, 1380.4 records/sec (134.80 MB/sec), 7.0 ms avg latency, 86.0 ms max latency.
6491 records sent, 1298.2 records/sec (126.78 MB/sec), 39.3 ms avg latency, 835.0 ms max latency.
6064 records sent, 1212.1 records/sec (118.37 MB/sec), 142.7 ms avg latency, 1108.0 ms max latency.
6744 records sent, 1348.8 records/sec (131.72 MB/sec), 8.8 ms avg latency, 53.0 ms max latency.
6969 records sent, 1393.8 records/sec (136.11 MB/sec), 7.3 ms avg latency, 107.0 ms max latency.
6935 records sent, 1387.0 records/sec (135.45 MB/sec), 6.0 ms avg latency, 109.0 ms max latency.
6815 records sent, 1363.0 records/sec (133.11 MB/sec), 6.6 ms avg latency, 80.0 ms max latency.
100000 records sent, 1229.770279 records/sec (120.09 MB/sec), 22.65 ms avg latency, 1255.00 ms max latency, 4 ms 50th, 69 ms 95th, 591 ms 99th, 956 ms 99.9th.
