producer_index=2
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 4172.0 ms avg latency, 4172.0 ms max latency.
36 records sent, 7.1 records/sec (0.69 MB/sec), 6550.5 ms avg latency, 15452.0 ms max latency.
96 records sent, 19.1 records/sec (1.87 MB/sec), 8991.4 ms avg latency, 10888.0 ms max latency.
168 records sent, 33.3 records/sec (3.25 MB/sec), 11685.0 ms avg latency, 13202.0 ms max latency.
280 records sent, 55.7 records/sec (5.44 MB/sec), 9344.7 ms avg latency, 13938.0 ms max latency.
354 records sent, 70.1 records/sec (6.85 MB/sec), 4986.3 ms avg latency, 6393.0 ms max latency.
390 records sent, 77.8 records/sec (7.60 MB/sec), 4205.7 ms avg latency, 4984.0 ms max latency.
502 records sent, 100.3 records/sec (9.79 MB/sec), 2265.7 ms avg latency, 3645.0 ms max latency.
419 records sent, 83.8 records/sec (8.18 MB/sec), 341.9 ms avg latency, 1274.0 ms max latency.
377 records sent, 74.7 records/sec (7.29 MB/sec), 58.8 ms avg latency, 318.0 ms max latency.
344 records sent, 68.4 records/sec (6.68 MB/sec), 34.5 ms avg latency, 110.0 ms max latency.
376 records sent, 75.2 records/sec (7.34 MB/sec), 40.3 ms avg latency, 180.0 ms max latency.
377 records sent, 74.7 records/sec (7.29 MB/sec), 44.1 ms avg latency, 150.0 ms max latency.
374 records sent, 74.7 records/sec (7.30 MB/sec), 46.3 ms avg latency, 192.0 ms max latency.
411 records sent, 81.5 records/sec (7.95 MB/sec), 40.0 ms avg latency, 164.0 ms max latency.
406 records sent, 81.1 records/sec (7.92 MB/sec), 29.4 ms avg latency, 98.0 ms max latency.
415 records sent, 82.8 records/sec (8.08 MB/sec), 29.7 ms avg latency, 110.0 ms max latency.
401 records sent, 80.1 records/sec (7.82 MB/sec), 53.5 ms avg latency, 336.0 ms max latency.
437 records sent, 86.8 records/sec (8.47 MB/sec), 35.4 ms avg latency, 166.0 ms max latency.
420 records sent, 83.3 records/sec (8.13 MB/sec), 27.7 ms avg latency, 107.0 ms max latency.
410 records sent, 81.5 records/sec (7.96 MB/sec), 28.6 ms avg latency, 87.0 ms max latency.
396 records sent, 79.2 records/sec (7.73 MB/sec), 26.4 ms avg latency, 84.0 ms max latency.
420 records sent, 83.9 records/sec (8.19 MB/sec), 26.1 ms avg latency, 84.0 ms max latency.
436 records sent, 86.6 records/sec (8.46 MB/sec), 24.3 ms avg latency, 73.0 ms max latency.
8334 records sent, 62.717770 records/sec (6.12 MB/sec), 1270.30 ms avg latency, 15452.00 ms max latency, 38 ms 50th, 8002 ms 95th, 12146 ms 99th, 13202 ms 99.9th.
