run_id=security-overhead-final-factorial-mtls-b5-rf3-isr3-msg10240-tps1000-batch16384-acks1-prod1-compnone-trial3
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-mtls-b5-rf3-isr3-msg10240-tps1000-batch16384-acks1-prod1-compnone-trial3/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
5001 records sent, 1000.0 records/sec (9.77 MB/sec), 282.9 ms avg latency, 1260.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 2.0 ms avg latency, 21.0 ms max latency.
5002 records sent, 1000.4 records/sec (9.77 MB/sec), 1.8 ms avg latency, 22.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 6.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 24.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 18.0 ms max latency.
5002 records sent, 1000.4 records/sec (9.77 MB/sec), 1.8 ms avg latency, 21.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 1.8 ms avg latency, 24.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 1.8 ms avg latency, 14.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 6.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.9 ms avg latency, 72.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 11.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 5.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 1.9 ms avg latency, 31.0 ms max latency.
4998 records sent, 999.6 records/sec (9.76 MB/sec), 1.8 ms avg latency, 28.0 ms max latency.
5003 records sent, 1000.6 records/sec (9.77 MB/sec), 1.8 ms avg latency, 24.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 2.1 ms avg latency, 63.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 20.0 ms max latency.
5002 records sent, 1000.4 records/sec (9.77 MB/sec), 1.8 ms avg latency, 20.0 ms max latency.
100000 records sent, 999.690096 records/sec (9.76 MB/sec), 15.90 ms avg latency, 1260.00 ms max latency, 1 ms 50th, 3 ms 95th, 710 ms 99th, 908 ms 99.9th.
