producer_index=8
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.01 MB/sec), 18335.0 ms avg latency, 18335.0 ms max latency.
71 records sent, 13.9 records/sec (1.36 MB/sec), 8701.1 ms avg latency, 10338.0 ms max latency.
90 records sent, 17.4 records/sec (1.70 MB/sec), 11805.0 ms avg latency, 15000.0 ms max latency.
150 records sent, 29.4 records/sec (2.87 MB/sec), 14664.3 ms avg latency, 15986.0 ms max latency.
131 records sent, 25.9 records/sec (2.53 MB/sec), 14244.8 ms avg latency, 16842.0 ms max latency.
138 records sent, 26.9 records/sec (2.62 MB/sec), 12258.1 ms avg latency, 13746.0 ms max latency.
197 records sent, 38.5 records/sec (3.76 MB/sec), 11639.6 ms avg latency, 13110.0 ms max latency.
425 records sent, 84.0 records/sec (8.20 MB/sec), 5618.8 ms avg latency, 10479.0 ms max latency.
449 records sent, 89.2 records/sec (8.71 MB/sec), 2469.9 ms avg latency, 3723.0 ms max latency.
455 records sent, 90.7 records/sec (8.85 MB/sec), 560.9 ms avg latency, 1766.0 ms max latency.
386 records sent, 77.2 records/sec (7.54 MB/sec), 41.9 ms avg latency, 140.0 ms max latency.
390 records sent, 77.6 records/sec (7.58 MB/sec), 58.3 ms avg latency, 259.0 ms max latency.
385 records sent, 76.9 records/sec (7.51 MB/sec), 41.7 ms avg latency, 113.0 ms max latency.
387 records sent, 77.1 records/sec (7.53 MB/sec), 45.8 ms avg latency, 179.0 ms max latency.
412 records sent, 81.9 records/sec (8.00 MB/sec), 39.7 ms avg latency, 129.0 ms max latency.
409 records sent, 81.7 records/sec (7.97 MB/sec), 35.2 ms avg latency, 122.0 ms max latency.
387 records sent, 76.8 records/sec (7.50 MB/sec), 41.3 ms avg latency, 164.0 ms max latency.
428 records sent, 85.5 records/sec (8.35 MB/sec), 70.8 ms avg latency, 370.0 ms max latency.
403 records sent, 80.5 records/sec (7.86 MB/sec), 28.9 ms avg latency, 89.0 ms max latency.
427 records sent, 85.3 records/sec (8.33 MB/sec), 41.1 ms avg latency, 191.0 ms max latency.
402 records sent, 80.1 records/sec (7.82 MB/sec), 32.5 ms avg latency, 86.0 ms max latency.
411 records sent, 81.8 records/sec (7.99 MB/sec), 27.7 ms avg latency, 66.0 ms max latency.
406 records sent, 81.0 records/sec (7.91 MB/sec), 28.3 ms avg latency, 77.0 ms max latency.
509 records sent, 101.8 records/sec (9.94 MB/sec), 27.2 ms avg latency, 142.0 ms max latency.
8333 records sent, 60.814164 records/sec (5.94 MB/sec), 1648.50 ms avg latency, 18335.00 ms max latency, 39 ms 50th, 12228 ms 95th, 14831 ms 99th, 16330 ms 99.9th.
