run_id=security-overhead-final-factorial-mtls-b5-rf3-isr3-msg102400-tps10000-batch131072-acksall-prod1-compnone-trial3
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-mtls-b5-rf3-isr3-msg102400-tps10000-batch131072-acksall-prod1-compnone-trial3/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=10000
2884 records sent, 576.8 records/sec (56.33 MB/sec), 178.9 ms avg latency, 1247.0 ms max latency.
5938 records sent, 1187.4 records/sec (115.95 MB/sec), 10.2 ms avg latency, 43.0 ms max latency.
6683 records sent, 1336.6 records/sec (130.53 MB/sec), 9.6 ms avg latency, 64.0 ms max latency.
6719 records sent, 1343.3 records/sec (131.18 MB/sec), 15.8 ms avg latency, 85.0 ms max latency.
8870 records sent, 1774.0 records/sec (173.24 MB/sec), 49.4 ms avg latency, 268.0 ms max latency.
8910 records sent, 1782.0 records/sec (174.02 MB/sec), 15.2 ms avg latency, 65.0 ms max latency.
8535 records sent, 1707.0 records/sec (166.70 MB/sec), 36.7 ms avg latency, 147.0 ms max latency.
8940 records sent, 1788.0 records/sec (174.61 MB/sec), 25.7 ms avg latency, 121.0 ms max latency.
7741 records sent, 1547.6 records/sec (151.13 MB/sec), 132.3 ms avg latency, 478.0 ms max latency.
8901 records sent, 1773.1 records/sec (173.16 MB/sec), 20.0 ms avg latency, 167.0 ms max latency.
9083 records sent, 1816.6 records/sec (177.40 MB/sec), 58.9 ms avg latency, 297.0 ms max latency.
9059 records sent, 1811.8 records/sec (176.93 MB/sec), 16.0 ms avg latency, 82.0 ms max latency.
100000 records sent, 1553.494586 records/sec (151.71 MB/sec), 38.70 ms avg latency, 1247.00 ms max latency, 17 ms 50th, 147 ms 95th, 294 ms 99th, 826 ms 99.9th.
