producer_index=10
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 16146.0 ms avg latency, 16146.0 ms max latency.
1759 records sent, 350.7 records/sec (0.34 MB/sec), 2500.7 ms avg latency, 4000.0 ms max latency.
419 records sent, 83.5 records/sec (0.08 MB/sec), 40.6 ms avg latency, 100.0 ms max latency.
417 records sent, 83.3 records/sec (0.08 MB/sec), 44.7 ms avg latency, 475.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 14.1 ms avg latency, 45.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 15.4 ms avg latency, 50.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 13.4 ms avg latency, 48.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 14.2 ms avg latency, 45.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 13.5 ms avg latency, 56.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 13.0 ms avg latency, 43.0 ms max latency.
415 records sent, 82.6 records/sec (0.08 MB/sec), 12.6 ms avg latency, 39.0 ms max latency.
417 records sent, 83.4 records/sec (0.08 MB/sec), 12.3 ms avg latency, 53.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 12.8 ms avg latency, 40.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 11.4 ms avg latency, 35.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 11.4 ms avg latency, 34.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 11.4 ms avg latency, 49.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 11.8 ms avg latency, 37.0 ms max latency.
8333 records sent, 82.953392 records/sec (0.08 MB/sec), 542.86 ms avg latency, 16146.00 ms max latency, 14 ms 50th, 3560 ms 95th, 3813 ms 99th, 3999 ms 99.9th.
