run_id=security-overhead-final-factorial-mtls-b5-rf5-isr3-msg102400-tps10000-batch16384-acksall-prod1-complz4-trial1
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-mtls-b5-rf5-isr3-msg102400-tps10000-batch16384-acksall-prod1-complz4-trial1/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=10000
2013 records sent, 402.6 records/sec (39.32 MB/sec), 335.9 ms avg latency, 1543.0 ms max latency.
4242 records sent, 847.7 records/sec (82.79 MB/sec), 15.7 ms avg latency, 70.0 ms max latency.
5038 records sent, 1007.6 records/sec (98.40 MB/sec), 19.6 ms avg latency, 97.0 ms max latency.
5223 records sent, 1044.4 records/sec (101.99 MB/sec), 18.5 ms avg latency, 71.0 ms max latency.
5470 records sent, 1093.6 records/sec (106.79 MB/sec), 67.4 ms avg latency, 212.0 ms max latency.
5832 records sent, 1166.4 records/sec (113.91 MB/sec), 103.0 ms avg latency, 398.0 ms max latency.
5541 records sent, 1108.2 records/sec (108.22 MB/sec), 192.8 ms avg latency, 471.0 ms max latency.
6025 records sent, 1205.0 records/sec (117.68 MB/sec), 251.5 ms avg latency, 438.0 ms max latency.
5910 records sent, 1181.8 records/sec (115.41 MB/sec), 208.7 ms avg latency, 454.0 ms max latency.
5885 records sent, 1177.0 records/sec (114.94 MB/sec), 230.3 ms avg latency, 433.0 ms max latency.
5343 records sent, 1058.4 records/sec (103.36 MB/sec), 212.0 ms avg latency, 596.0 ms max latency.
5152 records sent, 1030.4 records/sec (100.63 MB/sec), 303.9 ms avg latency, 1138.0 ms max latency.
5926 records sent, 1185.2 records/sec (115.74 MB/sec), 234.4 ms avg latency, 419.0 ms max latency.
5878 records sent, 1175.4 records/sec (114.78 MB/sec), 252.3 ms avg latency, 462.0 ms max latency.
5792 records sent, 1157.7 records/sec (113.06 MB/sec), 251.1 ms avg latency, 506.0 ms max latency.
5831 records sent, 1166.2 records/sec (113.89 MB/sec), 258.7 ms avg latency, 498.0 ms max latency.
5625 records sent, 1125.0 records/sec (109.86 MB/sec), 271.1 ms avg latency, 503.0 ms max latency.
5348 records sent, 1069.6 records/sec (104.45 MB/sec), 294.9 ms avg latency, 593.0 ms max latency.
100000 records sent, 1069.484402 records/sec (104.44 MB/sec), 197.18 ms avg latency, 1543.00 ms max latency, 207 ms 50th, 391 ms 95th, 581 ms 99th, 999 ms 99.9th.
