producer_index=4
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.00 MB/sec), 19544.0 ms avg latency, 19544.0 ms max latency.
74 records sent, 14.8 records/sec (1.44 MB/sec), 8114.8 ms avg latency, 9783.0 ms max latency.
84 records sent, 16.5 records/sec (1.61 MB/sec), 10439.1 ms avg latency, 14013.0 ms max latency.
144 records sent, 28.8 records/sec (2.81 MB/sec), 12282.3 ms avg latency, 14398.0 ms max latency.
142 records sent, 27.9 records/sec (2.73 MB/sec), 10205.0 ms avg latency, 12206.0 ms max latency.
149 records sent, 29.7 records/sec (2.90 MB/sec), 9234.6 ms avg latency, 10605.0 ms max latency.
175 records sent, 34.9 records/sec (3.41 MB/sec), 8732.6 ms avg latency, 9900.0 ms max latency.
359 records sent, 71.3 records/sec (6.96 MB/sec), 4571.6 ms avg latency, 7823.0 ms max latency.
394 records sent, 78.8 records/sec (7.69 MB/sec), 1190.0 ms avg latency, 3086.0 ms max latency.
272 records sent, 54.3 records/sec (5.31 MB/sec), 71.9 ms avg latency, 283.0 ms max latency.
258 records sent, 51.1 records/sec (4.99 MB/sec), 59.1 ms avg latency, 242.0 ms max latency.
280 records sent, 55.7 records/sec (5.44 MB/sec), 94.0 ms avg latency, 293.0 ms max latency.
291 records sent, 57.5 records/sec (5.61 MB/sec), 80.0 ms avg latency, 279.0 ms max latency.
319 records sent, 63.4 records/sec (6.19 MB/sec), 60.9 ms avg latency, 294.0 ms max latency.
308 records sent, 60.6 records/sec (5.91 MB/sec), 85.1 ms avg latency, 370.0 ms max latency.
322 records sent, 64.3 records/sec (6.28 MB/sec), 69.5 ms avg latency, 253.0 ms max latency.
325 records sent, 64.9 records/sec (6.34 MB/sec), 63.6 ms avg latency, 239.0 ms max latency.
317 records sent, 62.6 records/sec (6.11 MB/sec), 59.4 ms avg latency, 281.0 ms max latency.
314 records sent, 62.5 records/sec (6.11 MB/sec), 46.4 ms avg latency, 151.0 ms max latency.
299 records sent, 59.7 records/sec (5.83 MB/sec), 55.3 ms avg latency, 159.0 ms max latency.
326 records sent, 65.1 records/sec (6.36 MB/sec), 71.4 ms avg latency, 330.0 ms max latency.
348 records sent, 69.0 records/sec (6.74 MB/sec), 150.9 ms avg latency, 893.0 ms max latency.
337 records sent, 67.1 records/sec (6.56 MB/sec), 48.8 ms avg latency, 154.0 ms max latency.
328 records sent, 65.2 records/sec (6.36 MB/sec), 46.8 ms avg latency, 141.0 ms max latency.
303 records sent, 60.5 records/sec (5.91 MB/sec), 53.2 ms avg latency, 216.0 ms max latency.
314 records sent, 62.5 records/sec (6.11 MB/sec), 53.4 ms avg latency, 243.0 ms max latency.
317 records sent, 63.3 records/sec (6.18 MB/sec), 49.6 ms avg latency, 160.0 ms max latency.
332 records sent, 65.6 records/sec (6.41 MB/sec), 57.6 ms avg latency, 209.0 ms max latency.
337 records sent, 67.3 records/sec (6.57 MB/sec), 39.7 ms avg latency, 205.0 ms max latency.
416 records sent, 82.9 records/sec (8.10 MB/sec), 50.6 ms avg latency, 209.0 ms max latency.
8334 records sent, 49.655912 records/sec (4.85 MB/sec), 1220.25 ms avg latency, 19544.00 ms max latency, 59 ms 50th, 9314 ms 95th, 12209 ms 99th, 13466 ms 99.9th.
