producer_index=1
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.00 MB/sec), 872.0 ms avg latency, 872.0 ms max latency.
282 records sent, 56.2 records/sec (0.55 MB/sec), 2740.7 ms avg latency, 8528.0 ms max latency.
432 records sent, 86.4 records/sec (0.84 MB/sec), 5541.3 ms avg latency, 6603.0 ms max latency.
746 records sent, 148.6 records/sec (1.45 MB/sec), 7051.4 ms avg latency, 7591.0 ms max latency.
965 records sent, 191.8 records/sec (1.87 MB/sec), 3301.5 ms avg latency, 6692.0 ms max latency.
426 records sent, 85.1 records/sec (0.83 MB/sec), 37.0 ms avg latency, 130.0 ms max latency.
422 records sent, 84.2 records/sec (0.82 MB/sec), 29.0 ms avg latency, 113.0 ms max latency.
408 records sent, 81.1 records/sec (0.79 MB/sec), 30.2 ms avg latency, 189.0 ms max latency.
437 records sent, 87.4 records/sec (0.85 MB/sec), 27.4 ms avg latency, 192.0 ms max latency.
419 records sent, 83.2 records/sec (0.81 MB/sec), 29.9 ms avg latency, 171.0 ms max latency.
425 records sent, 84.3 records/sec (0.82 MB/sec), 27.0 ms avg latency, 149.0 ms max latency.
427 records sent, 85.4 records/sec (0.83 MB/sec), 21.9 ms avg latency, 88.0 ms max latency.
417 records sent, 83.2 records/sec (0.81 MB/sec), 22.1 ms avg latency, 122.0 ms max latency.
425 records sent, 85.0 records/sec (0.83 MB/sec), 21.3 ms avg latency, 120.0 ms max latency.
420 records sent, 83.9 records/sec (0.82 MB/sec), 23.3 ms avg latency, 163.0 ms max latency.
418 records sent, 83.1 records/sec (0.81 MB/sec), 20.5 ms avg latency, 129.0 ms max latency.
426 records sent, 85.0 records/sec (0.83 MB/sec), 19.8 ms avg latency, 104.0 ms max latency.
420 records sent, 83.7 records/sec (0.82 MB/sec), 21.7 ms avg latency, 192.0 ms max latency.
8334 records sent, 83.735230 records/sec (0.82 MB/sec), 1411.40 ms avg latency, 8528.00 ms max latency, 25 ms 50th, 7064 ms 95th, 7304 ms 99th, 7513 ms 99.9th.
