sweep_value,run_count,throughput_records_per_sec_mean,throughput_records_per_sec_min,throughput_records_per_sec_max,throughput_mb_per_sec_mean,throughput_mb_per_sec_min,throughput_mb_per_sec_max,avg_latency_ms_mean,avg_latency_ms_min,avg_latency_ms_max,max_latency_ms_mean,max_latency_ms_min,max_latency_ms_max
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial1,1,999.80004,999.80004,999.80004,0.98,0.98,0.98,4.29,4.29,4.29,661,661.0,661.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial2,1,999.650122,999.650122,999.650122,0.98,0.98,0.98,4.19,4.19,4.19,618,618.0,618.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial3,1,999.710084,999.710084,999.710084,0.98,0.98,0.98,4.19,4.19,4.19,649,649.0,649.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1,1,999.650122,999.650122,999.650122,0.98,0.98,0.98,4.34,4.34,4.34,680,680.0,680.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial2,1,999.690096,999.690096,999.690096,0.98,0.98,0.98,4.36,4.36,4.36,702,702.0,702.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial3,1,999.720078,999.720078,999.720078,0.98,0.98,0.98,4.23,4.23,4.23,576,576.0,576.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial1,1,998.819144,998.819144,998.819144,0.96,0.96,0.96,63.361328300000004,63.361328300000004,63.361328300000004,9937,9937.0,9937.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial2,1,997.854351,997.854351,997.854351,0.96,0.96,0.96,60.6579894,60.6579894,60.6579894,10180,10180.0,10180.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial3,1,997.558624,997.558624,997.558624,0.96,0.96,0.96,56.853180099999996,56.853180099999996,56.853180099999996,10138,10138.0,10138.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial1,1,998.246486,998.246486,998.246486,0.96,0.96,0.96,57.3413301,57.3413301,57.3413301,9999,9999.0,9999.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial2,1,997.301006,997.301006,997.301006,0.96,0.96,0.96,52.3150132,52.3150132,52.3150132,9314,9314.0,9314.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial3,1,998.269908,998.269908,998.269908,0.96,0.96,0.96,59.181801899999996,59.181801899999996,59.181801899999996,9564,9564.0,9564.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial1,1,999.480512,999.480512,999.480512,0.96,0.96,0.96,15.904980700000001,15.904980700000001,15.904980700000001,5246,5246.0,5246.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial2,1,999.556194,999.556194,999.556194,0.96,0.96,0.96,17.0017009,17.0017009,17.0017009,5139,5139.0,5139.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial3,1,999.620762,999.620762,999.620762,0.96,0.96,0.96,17.678323300000002,17.678323300000002,17.678323300000002,5132,5132.0,5132.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial1,1,999.540639,999.540639,999.540639,0.96,0.96,0.96,16.563384499999998,16.563384499999998,16.563384499999998,4838,4838.0,4838.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial2,1,999.699551,999.699551,999.699551,0.96,0.96,0.96,16.960011899999998,16.960011899999998,16.960011899999998,4767,4767.0,4767.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial3,1,999.662735,999.662735,999.662735,0.96,0.96,0.96,14.7416455,14.7416455,14.7416455,4697,4697.0,4697.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial1,1,999.720078,999.720078,999.720078,0.98,0.98,0.98,5.33,5.33,5.33,741,741.0,741.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial2,1,999.70009,999.70009,999.70009,0.98,0.98,0.98,5.39,5.39,5.39,793,793.0,793.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial3,1,999.290504,999.290504,999.290504,0.98,0.98,0.98,5.31,5.31,5.31,709,709.0,709.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial1,1,999.540212,999.540212,999.540212,0.98,0.98,0.98,5.18,5.18,5.18,687,687.0,687.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial2,1,999.320462,999.320462,999.320462,0.98,0.98,0.98,5.42,5.42,5.42,649,649.0,649.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial3,1,999.810036,999.810036,999.810036,0.98,0.98,0.98,5.82,5.82,5.82,1030,1030.0,1030.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-complz4-trial1,1,998.160593,998.160593,998.160593,0.96,0.96,0.96,59.0904728,59.0904728,59.0904728,10249,10249.0,10249.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-complz4-trial2,1,997.972272,997.972272,997.972272,0.96,0.96,0.96,64.4501725,64.4501725,64.4501725,10318,10318.0,10318.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-complz4-trial3,1,999.165156,999.165156,999.165156,0.96,0.96,0.96,61.466785800000004,61.466785800000004,61.466785800000004,10476,10476.0,10476.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-compnone-trial1,1,997.790202,997.790202,997.790202,0.96,0.96,0.96,59.154375,59.154375,59.154375,9820,9820.0,9820.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-compnone-trial2,1,998.18138,998.18138,998.18138,0.96,0.96,0.96,60.683606100000006,60.683606100000006,60.683606100000006,9836,9836.0,9836.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-compnone-trial3,1,998.538461,998.538461,998.538461,0.96,0.96,0.96,62.288096100000004,62.288096100000004,62.288096100000004,10507,10507.0,10507.0
