producer_index=1
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.00 MB/sec), 1123.0 ms avg latency, 1123.0 ms max latency.
204 records sent, 39.7 records/sec (0.39 MB/sec), 2994.0 ms avg latency, 9824.0 ms max latency.
318 records sent, 63.4 records/sec (0.62 MB/sec), 5648.0 ms avg latency, 7015.0 ms max latency.
666 records sent, 132.2 records/sec (1.29 MB/sec), 7845.5 ms avg latency, 8542.0 ms max latency.
1191 records sent, 236.7 records/sec (2.31 MB/sec), 6018.1 ms avg latency, 8584.0 ms max latency.
550 records sent, 109.9 records/sec (1.07 MB/sec), 275.5 ms avg latency, 1688.0 ms max latency.
423 records sent, 84.5 records/sec (0.83 MB/sec), 21.2 ms avg latency, 125.0 ms max latency.
412 records sent, 81.2 records/sec (0.79 MB/sec), 26.9 ms avg latency, 151.0 ms max latency.
435 records sent, 86.9 records/sec (0.85 MB/sec), 24.1 ms avg latency, 129.0 ms max latency.
418 records sent, 83.2 records/sec (0.81 MB/sec), 22.5 ms avg latency, 150.0 ms max latency.
425 records sent, 84.7 records/sec (0.83 MB/sec), 20.2 ms avg latency, 102.0 ms max latency.
421 records sent, 84.1 records/sec (0.82 MB/sec), 18.8 ms avg latency, 74.0 ms max latency.
420 records sent, 83.9 records/sec (0.82 MB/sec), 19.2 ms avg latency, 106.0 ms max latency.
420 records sent, 83.3 records/sec (0.81 MB/sec), 17.7 ms avg latency, 62.0 ms max latency.
426 records sent, 85.2 records/sec (0.83 MB/sec), 22.7 ms avg latency, 139.0 ms max latency.
416 records sent, 82.7 records/sec (0.81 MB/sec), 22.2 ms avg latency, 207.0 ms max latency.
428 records sent, 85.4 records/sec (0.83 MB/sec), 20.1 ms avg latency, 163.0 ms max latency.
421 records sent, 84.1 records/sec (0.82 MB/sec), 21.6 ms avg latency, 156.0 ms max latency.
8334 records sent, 83.649503 records/sec (0.82 MB/sec), 1807.89 ms avg latency, 9824.00 ms max latency, 22 ms 50th, 8212 ms 95th, 8395 ms 99th, 8537 ms 99.9th.
