producer_index=12
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 799.0 ms avg latency, 799.0 ms max latency.
308 records sent, 61.4 records/sec (0.60 MB/sec), 2825.9 ms avg latency, 8668.0 ms max latency.
572 records sent, 114.3 records/sec (1.12 MB/sec), 5782.2 ms avg latency, 7142.0 ms max latency.
1066 records sent, 209.8 records/sec (2.05 MB/sec), 4487.9 ms avg latency, 7483.0 ms max latency.
452 records sent, 90.3 records/sec (0.88 MB/sec), 58.9 ms avg latency, 538.0 ms max latency.
407 records sent, 81.3 records/sec (0.79 MB/sec), 19.9 ms avg latency, 138.0 ms max latency.
424 records sent, 84.7 records/sec (0.83 MB/sec), 20.5 ms avg latency, 103.0 ms max latency.
416 records sent, 83.1 records/sec (0.81 MB/sec), 17.7 ms avg latency, 86.0 ms max latency.
415 records sent, 81.8 records/sec (0.80 MB/sec), 18.2 ms avg latency, 136.0 ms max latency.
422 records sent, 84.4 records/sec (0.82 MB/sec), 23.1 ms avg latency, 140.0 ms max latency.
416 records sent, 82.8 records/sec (0.81 MB/sec), 18.4 ms avg latency, 129.0 ms max latency.
417 records sent, 83.4 records/sec (0.81 MB/sec), 18.8 ms avg latency, 119.0 ms max latency.
416 records sent, 83.1 records/sec (0.81 MB/sec), 18.0 ms avg latency, 98.0 ms max latency.
416 records sent, 83.0 records/sec (0.81 MB/sec), 17.6 ms avg latency, 119.0 ms max latency.
416 records sent, 83.2 records/sec (0.81 MB/sec), 19.1 ms avg latency, 133.0 ms max latency.
416 records sent, 83.0 records/sec (0.81 MB/sec), 16.7 ms avg latency, 76.0 ms max latency.
417 records sent, 83.3 records/sec (0.81 MB/sec), 17.4 ms avg latency, 79.0 ms max latency.
410 records sent, 81.9 records/sec (0.80 MB/sec), 18.3 ms avg latency, 107.0 ms max latency.
424 records sent, 84.6 records/sec (0.83 MB/sec), 20.2 ms avg latency, 145.0 ms max latency.
8333 records sent, 82.807485 records/sec (0.81 MB/sec), 1092.20 ms avg latency, 8668.00 ms max latency, 17 ms 50th, 6473 ms 95th, 7223 ms 99th, 7427 ms 99.9th.
