producer_index=10
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 7690.0 ms avg latency, 7690.0 ms max latency.
1057 records sent, 211.2 records/sec (0.21 MB/sec), 250.2 ms avg latency, 632.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 29.0 ms avg latency, 126.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 16.0 ms avg latency, 72.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 11.0 ms avg latency, 48.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 14.5 ms avg latency, 72.0 ms max latency.
414 records sent, 82.8 records/sec (0.08 MB/sec), 13.3 ms avg latency, 68.0 ms max latency.
422 records sent, 84.2 records/sec (0.08 MB/sec), 14.3 ms avg latency, 80.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 13.8 ms avg latency, 80.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 14.2 ms avg latency, 71.0 ms max latency.
416 records sent, 82.9 records/sec (0.08 MB/sec), 16.4 ms avg latency, 94.0 ms max latency.
418 records sent, 83.4 records/sec (0.08 MB/sec), 15.5 ms avg latency, 116.0 ms max latency.
415 records sent, 82.9 records/sec (0.08 MB/sec), 15.6 ms avg latency, 120.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 16.5 ms avg latency, 106.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 11.7 ms avg latency, 84.0 ms max latency.
411 records sent, 82.0 records/sec (0.08 MB/sec), 13.5 ms avg latency, 91.0 ms max latency.
423 records sent, 84.5 records/sec (0.08 MB/sec), 13.3 ms avg latency, 75.0 ms max latency.
415 records sent, 82.9 records/sec (0.08 MB/sec), 12.3 ms avg latency, 71.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 12.8 ms avg latency, 94.0 ms max latency.
8333 records sent, 82.928625 records/sec (0.08 MB/sec), 45.62 ms avg latency, 7690.00 ms max latency, 12 ms 50th, 311 ms 95th, 466 ms 99th, 575 ms 99.9th.
