producer_index=2
producer_count=6
producer_records=16667
producer_throughput=167
831 records sent, 165.8 records/sec (0.16 MB/sec), 75.1 ms avg latency, 3495.0 ms max latency.
845 records sent, 169.0 records/sec (0.17 MB/sec), 15.0 ms avg latency, 74.0 ms max latency.
833 records sent, 166.1 records/sec (0.16 MB/sec), 8.4 ms avg latency, 36.0 ms max latency.
841 records sent, 167.9 records/sec (0.16 MB/sec), 8.5 ms avg latency, 44.0 ms max latency.
837 records sent, 167.3 records/sec (0.16 MB/sec), 8.6 ms avg latency, 33.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 9.8 ms avg latency, 61.0 ms max latency.
836 records sent, 166.9 records/sec (0.16 MB/sec), 10.2 ms avg latency, 69.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 9.5 ms avg latency, 58.0 ms max latency.
835 records sent, 166.7 records/sec (0.16 MB/sec), 8.8 ms avg latency, 50.0 ms max latency.
842 records sent, 168.4 records/sec (0.16 MB/sec), 8.5 ms avg latency, 47.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 7.2 ms avg latency, 22.0 ms max latency.
834 records sent, 166.7 records/sec (0.16 MB/sec), 6.5 ms avg latency, 14.0 ms max latency.
837 records sent, 167.1 records/sec (0.16 MB/sec), 6.6 ms avg latency, 24.0 ms max latency.
837 records sent, 167.3 records/sec (0.16 MB/sec), 6.5 ms avg latency, 16.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.3 ms avg latency, 13.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.3 ms avg latency, 20.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.1 ms avg latency, 16.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 6.2 ms avg latency, 11.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.1 ms avg latency, 22.0 ms max latency.
16667 records sent, 166.930411 records/sec (0.16 MB/sec), 11.32 ms avg latency, 3495.00 ms max latency, 7 ms 50th, 31 ms 95th, 104 ms 99th, 167 ms 99.9th.
