producer_index=2
producer_count=6
producer_records=16667
producer_throughput=167
832 records sent, 166.3 records/sec (0.16 MB/sec), 127.8 ms avg latency, 4351.0 ms max latency.
843 records sent, 167.9 records/sec (0.16 MB/sec), 16.7 ms avg latency, 86.0 ms max latency.
841 records sent, 168.0 records/sec (0.16 MB/sec), 8.3 ms avg latency, 41.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 9.0 ms avg latency, 36.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 8.3 ms avg latency, 32.0 ms max latency.
837 records sent, 167.3 records/sec (0.16 MB/sec), 8.6 ms avg latency, 42.0 ms max latency.
835 records sent, 166.9 records/sec (0.16 MB/sec), 8.8 ms avg latency, 52.0 ms max latency.
841 records sent, 168.2 records/sec (0.16 MB/sec), 8.4 ms avg latency, 51.0 ms max latency.
834 records sent, 166.5 records/sec (0.16 MB/sec), 7.7 ms avg latency, 48.0 ms max latency.
843 records sent, 168.3 records/sec (0.16 MB/sec), 6.8 ms avg latency, 42.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 6.7 ms avg latency, 21.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.5 ms avg latency, 22.0 ms max latency.
838 records sent, 167.4 records/sec (0.16 MB/sec), 6.4 ms avg latency, 17.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.3 ms avg latency, 25.0 ms max latency.
835 records sent, 166.9 records/sec (0.16 MB/sec), 6.4 ms avg latency, 36.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.2 ms avg latency, 14.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 6.1 ms avg latency, 21.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.2 ms avg latency, 24.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.2 ms avg latency, 15.0 ms max latency.
16667 records sent, 166.952149 records/sec (0.16 MB/sec), 13.68 ms avg latency, 4351.00 ms max latency, 6 ms 50th, 32 ms 95th, 228 ms 99th, 292 ms 99.9th.
