producer_index=5
producer_count=6
producer_records=16666
producer_throughput=166
818 records sent, 163.3 records/sec (0.16 MB/sec), 256.9 ms avg latency, 4493.0 ms max latency.
843 records sent, 168.6 records/sec (0.16 MB/sec), 20.2 ms avg latency, 92.0 ms max latency.
834 records sent, 166.6 records/sec (0.16 MB/sec), 9.0 ms avg latency, 29.0 ms max latency.
830 records sent, 165.8 records/sec (0.16 MB/sec), 9.8 ms avg latency, 42.0 ms max latency.
832 records sent, 166.2 records/sec (0.16 MB/sec), 10.5 ms avg latency, 49.0 ms max latency.
834 records sent, 166.7 records/sec (0.16 MB/sec), 9.0 ms avg latency, 44.0 ms max latency.
829 records sent, 165.6 records/sec (0.16 MB/sec), 9.9 ms avg latency, 49.0 ms max latency.
833 records sent, 166.5 records/sec (0.16 MB/sec), 9.0 ms avg latency, 59.0 ms max latency.
828 records sent, 165.2 records/sec (0.16 MB/sec), 8.5 ms avg latency, 39.0 ms max latency.
838 records sent, 167.6 records/sec (0.16 MB/sec), 7.0 ms avg latency, 39.0 ms max latency.
830 records sent, 165.9 records/sec (0.16 MB/sec), 7.1 ms avg latency, 21.0 ms max latency.
830 records sent, 165.9 records/sec (0.16 MB/sec), 6.7 ms avg latency, 23.0 ms max latency.
831 records sent, 166.1 records/sec (0.16 MB/sec), 6.6 ms avg latency, 19.0 ms max latency.
831 records sent, 166.1 records/sec (0.16 MB/sec), 6.3 ms avg latency, 20.0 ms max latency.
831 records sent, 166.1 records/sec (0.16 MB/sec), 6.2 ms avg latency, 24.0 ms max latency.
830 records sent, 166.0 records/sec (0.16 MB/sec), 6.3 ms avg latency, 17.0 ms max latency.
831 records sent, 166.2 records/sec (0.16 MB/sec), 6.3 ms avg latency, 17.0 ms max latency.
830 records sent, 166.0 records/sec (0.16 MB/sec), 6.1 ms avg latency, 18.0 ms max latency.
831 records sent, 166.0 records/sec (0.16 MB/sec), 6.2 ms avg latency, 13.0 ms max latency.
831 records sent, 166.2 records/sec (0.16 MB/sec), 6.1 ms avg latency, 12.0 ms max latency.
16666 records sent, 165.840747 records/sec (0.16 MB/sec), 20.47 ms avg latency, 4493.00 ms max latency, 7 ms 50th, 63 ms 95th, 406 ms 99th, 445 ms 99.9th.
