producer_index=2
producer_count=6
producer_records=16667
producer_throughput=167
832 records sent, 165.9 records/sec (0.16 MB/sec), 144.9 ms avg latency, 3891.0 ms max latency.
842 records sent, 168.3 records/sec (0.16 MB/sec), 14.7 ms avg latency, 71.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 8.4 ms avg latency, 41.0 ms max latency.
836 records sent, 166.9 records/sec (0.16 MB/sec), 8.8 ms avg latency, 35.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 9.1 ms avg latency, 48.0 ms max latency.
833 records sent, 166.5 records/sec (0.16 MB/sec), 9.1 ms avg latency, 66.0 ms max latency.
840 records sent, 167.8 records/sec (0.16 MB/sec), 10.6 ms avg latency, 73.0 ms max latency.
835 records sent, 166.9 records/sec (0.16 MB/sec), 8.6 ms avg latency, 49.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 7.3 ms avg latency, 31.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.7 ms avg latency, 23.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.9 ms avg latency, 25.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.5 ms avg latency, 26.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.3 ms avg latency, 12.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 6.3 ms avg latency, 20.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.4 ms avg latency, 20.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 6.2 ms avg latency, 16.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.1 ms avg latency, 17.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.1 ms avg latency, 11.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.4 ms avg latency, 32.0 ms max latency.
16667 records sent, 166.866903 records/sec (0.16 MB/sec), 14.58 ms avg latency, 3891.00 ms max latency, 6 ms 50th, 37 ms 95th, 183 ms 99th, 201 ms 99.9th.
