producer_index=1
producer_count=6
producer_records=16667
producer_throughput=167
826 records sent, 164.9 records/sec (0.16 MB/sec), 104.3 ms avg latency, 4452.0 ms max latency.
850 records sent, 169.9 records/sec (0.17 MB/sec), 17.1 ms avg latency, 123.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 8.7 ms avg latency, 41.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 10.0 ms avg latency, 64.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 10.0 ms avg latency, 56.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 9.7 ms avg latency, 99.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 8.5 ms avg latency, 41.0 ms max latency.
834 records sent, 166.3 records/sec (0.16 MB/sec), 8.2 ms avg latency, 29.0 ms max latency.
841 records sent, 167.9 records/sec (0.16 MB/sec), 8.4 ms avg latency, 41.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.9 ms avg latency, 32.0 ms max latency.
837 records sent, 167.1 records/sec (0.16 MB/sec), 7.6 ms avg latency, 37.0 ms max latency.
837 records sent, 167.3 records/sec (0.16 MB/sec), 6.5 ms avg latency, 27.0 ms max latency.
834 records sent, 166.7 records/sec (0.16 MB/sec), 6.5 ms avg latency, 27.0 ms max latency.
837 records sent, 167.2 records/sec (0.16 MB/sec), 6.4 ms avg latency, 26.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 6.0 ms avg latency, 10.0 ms max latency.
835 records sent, 166.9 records/sec (0.16 MB/sec), 6.1 ms avg latency, 14.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.2 ms avg latency, 21.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 6.1 ms avg latency, 17.0 ms max latency.
835 records sent, 166.9 records/sec (0.16 MB/sec), 6.1 ms avg latency, 12.0 ms max latency.
16667 records sent, 166.791758 records/sec (0.16 MB/sec), 12.75 ms avg latency, 4452.00 ms max latency, 6 ms 50th, 40 ms 95th, 115 ms 99th, 297 ms 99.9th.
