producer_index=5
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.00 MB/sec), 7773.0 ms avg latency, 7773.0 ms max latency.
224 records sent, 44.6 records/sec (0.44 MB/sec), 2566.7 ms avg latency, 4038.0 ms max latency.
336 records sent, 67.1 records/sec (0.66 MB/sec), 4975.0 ms avg latency, 6799.0 ms max latency.
362 records sent, 72.4 records/sec (0.71 MB/sec), 8141.6 ms avg latency, 9768.0 ms max latency.
780 records sent, 155.6 records/sec (1.52 MB/sec), 10573.8 ms avg latency, 11458.0 ms max latency.
954 records sent, 190.2 records/sec (1.86 MB/sec), 11271.0 ms avg latency, 12040.0 ms max latency.
1018 records sent, 202.7 records/sec (1.98 MB/sec), 11198.8 ms avg latency, 12248.0 ms max latency.
1288 records sent, 257.5 records/sec (2.52 MB/sec), 9560.3 ms avg latency, 10643.0 ms max latency.
1211 records sent, 239.1 records/sec (2.34 MB/sec), 8298.1 ms avg latency, 8959.0 ms max latency.
2091 records sent, 416.0 records/sec (4.06 MB/sec), 6870.6 ms avg latency, 8478.0 ms max latency.
8333 records sent, 153.657502 records/sec (1.50 MB/sec), 8719.23 ms avg latency, 12248.00 ms max latency, 8766 ms 50th, 11644 ms 95th, 11877 ms 99th, 12114 ms 99.9th.
