producer_index=1
producer_count=6
producer_records=16667
producer_throughput=167
44 records sent, 8.8 records/sec (0.86 MB/sec), 721.5 ms avg latency, 4423.0 ms max latency.
563 records sent, 112.1 records/sec (10.95 MB/sec), 265.6 ms avg latency, 1019.0 ms max latency.
704 records sent, 140.7 records/sec (13.74 MB/sec), 52.5 ms avg latency, 244.0 ms max latency.
900 records sent, 179.5 records/sec (17.53 MB/sec), 22.7 ms avg latency, 105.0 ms max latency.
782 records sent, 156.2 records/sec (15.25 MB/sec), 17.8 ms avg latency, 72.0 ms max latency.
748 records sent, 149.5 records/sec (14.60 MB/sec), 22.8 ms avg latency, 163.0 ms max latency.
802 records sent, 160.2 records/sec (15.65 MB/sec), 19.0 ms avg latency, 108.0 ms max latency.
778 records sent, 153.8 records/sec (15.02 MB/sec), 15.0 ms avg latency, 88.0 ms max latency.
748 records sent, 148.5 records/sec (14.50 MB/sec), 15.4 ms avg latency, 95.0 ms max latency.
829 records sent, 165.3 records/sec (16.15 MB/sec), 22.7 ms avg latency, 123.0 ms max latency.
803 records sent, 160.3 records/sec (15.65 MB/sec), 18.1 ms avg latency, 98.0 ms max latency.
904 records sent, 180.3 records/sec (17.60 MB/sec), 17.7 ms avg latency, 77.0 ms max latency.
722 records sent, 144.1 records/sec (14.07 MB/sec), 14.9 ms avg latency, 97.0 ms max latency.
815 records sent, 163.0 records/sec (15.92 MB/sec), 14.9 ms avg latency, 92.0 ms max latency.
734 records sent, 146.7 records/sec (14.32 MB/sec), 35.0 ms avg latency, 463.0 ms max latency.
844 records sent, 168.5 records/sec (16.46 MB/sec), 31.7 ms avg latency, 214.0 ms max latency.
881 records sent, 175.9 records/sec (17.18 MB/sec), 17.3 ms avg latency, 100.0 ms max latency.
830 records sent, 165.9 records/sec (16.20 MB/sec), 13.4 ms avg latency, 77.0 ms max latency.
775 records sent, 154.7 records/sec (15.10 MB/sec), 11.9 ms avg latency, 67.0 ms max latency.
1077 records sent, 214.5 records/sec (20.95 MB/sec), 16.9 ms avg latency, 86.0 ms max latency.
938 records sent, 187.5 records/sec (18.31 MB/sec), 12.9 ms avg latency, 73.0 ms max latency.
16667 records sent, 153.639808 records/sec (15.00 MB/sec), 30.25 ms avg latency, 4423.00 ms max latency, 13 ms 50th, 77 ms 95th, 518 ms 99th, 774 ms 99.9th.
