producer_index=1
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 1639.0 ms avg latency, 1639.0 ms max latency.
183 records sent, 36.6 records/sec (3.57 MB/sec), 1446.3 ms avg latency, 11140.0 ms max latency.
224 records sent, 44.6 records/sec (4.36 MB/sec), 514.3 ms avg latency, 1710.0 ms max latency.
224 records sent, 44.8 records/sec (4.38 MB/sec), 154.0 ms avg latency, 337.0 ms max latency.
226 records sent, 45.2 records/sec (4.41 MB/sec), 121.4 ms avg latency, 392.0 ms max latency.
254 records sent, 50.5 records/sec (4.93 MB/sec), 100.1 ms avg latency, 376.0 ms max latency.
278 records sent, 55.5 records/sec (5.42 MB/sec), 80.7 ms avg latency, 323.0 ms max latency.
300 records sent, 59.7 records/sec (5.83 MB/sec), 50.5 ms avg latency, 206.0 ms max latency.
270 records sent, 52.9 records/sec (5.16 MB/sec), 55.8 ms avg latency, 300.0 ms max latency.
293 records sent, 58.2 records/sec (5.68 MB/sec), 58.1 ms avg latency, 301.0 ms max latency.
265 records sent, 52.8 records/sec (5.16 MB/sec), 80.4 ms avg latency, 357.0 ms max latency.
309 records sent, 60.8 records/sec (5.94 MB/sec), 90.6 ms avg latency, 277.0 ms max latency.
256 records sent, 51.0 records/sec (4.98 MB/sec), 67.0 ms avg latency, 287.0 ms max latency.
230 records sent, 45.4 records/sec (4.43 MB/sec), 61.4 ms avg latency, 299.0 ms max latency.
260 records sent, 51.7 records/sec (5.05 MB/sec), 63.0 ms avg latency, 294.0 ms max latency.
271 records sent, 53.9 records/sec (5.26 MB/sec), 57.6 ms avg latency, 204.0 ms max latency.
277 records sent, 54.5 records/sec (5.32 MB/sec), 56.9 ms avg latency, 265.0 ms max latency.
271 records sent, 54.1 records/sec (5.28 MB/sec), 65.5 ms avg latency, 283.0 ms max latency.
302 records sent, 60.0 records/sec (5.86 MB/sec), 56.4 ms avg latency, 191.0 ms max latency.
259 records sent, 51.5 records/sec (5.03 MB/sec), 64.3 ms avg latency, 341.0 ms max latency.
281 records sent, 55.8 records/sec (5.45 MB/sec), 107.8 ms avg latency, 548.0 ms max latency.
242 records sent, 48.3 records/sec (4.72 MB/sec), 60.6 ms avg latency, 221.0 ms max latency.
292 records sent, 57.4 records/sec (5.61 MB/sec), 74.7 ms avg latency, 245.0 ms max latency.
298 records sent, 59.6 records/sec (5.82 MB/sec), 58.0 ms avg latency, 184.0 ms max latency.
268 records sent, 53.3 records/sec (5.20 MB/sec), 54.9 ms avg latency, 238.0 ms max latency.
267 records sent, 51.4 records/sec (5.02 MB/sec), 48.0 ms avg latency, 192.0 ms max latency.
294 records sent, 58.5 records/sec (5.71 MB/sec), 52.0 ms avg latency, 243.0 ms max latency.
280 records sent, 55.7 records/sec (5.44 MB/sec), 45.7 ms avg latency, 152.0 ms max latency.
289 records sent, 57.3 records/sec (5.60 MB/sec), 45.6 ms avg latency, 235.0 ms max latency.
281 records sent, 56.0 records/sec (5.47 MB/sec), 43.0 ms avg latency, 228.0 ms max latency.
350 records sent, 69.6 records/sec (6.80 MB/sec), 42.6 ms avg latency, 155.0 ms max latency.
8334 records sent, 50.812735 records/sec (4.96 MB/sec), 108.51 ms avg latency, 11140.00 ms max latency, 51 ms 50th, 269 ms 95th, 1475 ms 99th, 2126 ms 99.9th.
