producer_index=1
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 8376.0 ms avg latency, 8376.0 ms max latency.
195 records sent, 39.0 records/sec (3.81 MB/sec), 831.0 ms avg latency, 1893.0 ms max latency.
208 records sent, 41.6 records/sec (4.06 MB/sec), 246.1 ms avg latency, 818.0 ms max latency.
216 records sent, 42.7 records/sec (4.17 MB/sec), 149.8 ms avg latency, 405.0 ms max latency.
242 records sent, 48.2 records/sec (4.71 MB/sec), 93.8 ms avg latency, 398.0 ms max latency.
248 records sent, 49.6 records/sec (4.84 MB/sec), 58.1 ms avg latency, 253.0 ms max latency.
269 records sent, 53.4 records/sec (5.21 MB/sec), 59.4 ms avg latency, 211.0 ms max latency.
314 records sent, 62.4 records/sec (6.09 MB/sec), 42.6 ms avg latency, 159.0 ms max latency.
315 records sent, 62.9 records/sec (6.14 MB/sec), 59.9 ms avg latency, 281.0 ms max latency.
306 records sent, 60.9 records/sec (5.94 MB/sec), 50.4 ms avg latency, 273.0 ms max latency.
291 records sent, 57.9 records/sec (5.66 MB/sec), 62.9 ms avg latency, 290.0 ms max latency.
271 records sent, 54.0 records/sec (5.27 MB/sec), 42.9 ms avg latency, 139.0 ms max latency.
269 records sent, 53.4 records/sec (5.21 MB/sec), 63.5 ms avg latency, 279.0 ms max latency.
276 records sent, 54.4 records/sec (5.32 MB/sec), 54.1 ms avg latency, 289.0 ms max latency.
278 records sent, 55.5 records/sec (5.42 MB/sec), 45.6 ms avg latency, 226.0 ms max latency.
275 records sent, 53.8 records/sec (5.25 MB/sec), 55.4 ms avg latency, 315.0 ms max latency.
305 records sent, 60.6 records/sec (5.91 MB/sec), 79.3 ms avg latency, 369.0 ms max latency.
303 records sent, 60.6 records/sec (5.92 MB/sec), 61.8 ms avg latency, 236.0 ms max latency.
269 records sent, 53.6 records/sec (5.23 MB/sec), 69.0 ms avg latency, 222.0 ms max latency.
265 records sent, 52.9 records/sec (5.16 MB/sec), 50.8 ms avg latency, 242.0 ms max latency.
257 records sent, 51.4 records/sec (5.02 MB/sec), 192.3 ms avg latency, 758.0 ms max latency.
286 records sent, 57.0 records/sec (5.57 MB/sec), 46.9 ms avg latency, 231.0 ms max latency.
270 records sent, 53.9 records/sec (5.27 MB/sec), 46.4 ms avg latency, 188.0 ms max latency.
284 records sent, 56.3 records/sec (5.50 MB/sec), 43.1 ms avg latency, 150.0 ms max latency.
267 records sent, 53.0 records/sec (5.18 MB/sec), 49.9 ms avg latency, 158.0 ms max latency.
291 records sent, 58.2 records/sec (5.68 MB/sec), 64.3 ms avg latency, 380.0 ms max latency.
276 records sent, 55.0 records/sec (5.37 MB/sec), 41.4 ms avg latency, 153.0 ms max latency.
318 records sent, 63.4 records/sec (6.19 MB/sec), 69.4 ms avg latency, 325.0 ms max latency.
276 records sent, 55.0 records/sec (5.37 MB/sec), 49.7 ms avg latency, 296.0 ms max latency.
273 records sent, 54.2 records/sec (5.29 MB/sec), 45.0 ms avg latency, 208.0 ms max latency.
8334 records sent, 52.425975 records/sec (5.12 MB/sec), 85.10 ms avg latency, 8376.00 ms max latency, 43 ms 50th, 260 ms 95th, 873 ms 99th, 1476 ms 99.9th.
