run_id=security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg102400-tps10000-batch131072-acksall-prod1-complz4-trial3
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg102400-tps10000-batch131072-acksall-prod1-complz4-trial3/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=10000
3311 records sent, 662.2 records/sec (64.67 MB/sec), 21.8 ms avg latency, 721.0 ms max latency.
4444 records sent, 888.8 records/sec (86.80 MB/sec), 6.5 ms avg latency, 46.0 ms max latency.
4410 records sent, 881.8 records/sec (86.12 MB/sec), 6.3 ms avg latency, 51.0 ms max latency.
4744 records sent, 948.8 records/sec (92.66 MB/sec), 6.2 ms avg latency, 41.0 ms max latency.
6457 records sent, 1290.6 records/sec (126.04 MB/sec), 7.8 ms avg latency, 58.0 ms max latency.
6300 records sent, 1260.0 records/sec (123.05 MB/sec), 6.8 ms avg latency, 54.0 ms max latency.
6451 records sent, 1290.2 records/sec (126.00 MB/sec), 7.6 ms avg latency, 55.0 ms max latency.
6520 records sent, 1304.0 records/sec (127.34 MB/sec), 6.4 ms avg latency, 35.0 ms max latency.
6527 records sent, 1305.1 records/sec (127.45 MB/sec), 7.1 ms avg latency, 40.0 ms max latency.
6371 records sent, 1274.2 records/sec (124.43 MB/sec), 7.0 ms avg latency, 51.0 ms max latency.
6394 records sent, 1278.5 records/sec (124.86 MB/sec), 7.7 ms avg latency, 102.0 ms max latency.
6188 records sent, 1237.6 records/sec (120.86 MB/sec), 27.1 ms avg latency, 296.0 ms max latency.
5779 records sent, 1155.8 records/sec (112.87 MB/sec), 7.0 ms avg latency, 217.0 ms max latency.
6519 records sent, 1303.5 records/sec (127.30 MB/sec), 6.0 ms avg latency, 41.0 ms max latency.
6639 records sent, 1327.8 records/sec (129.67 MB/sec), 6.6 ms avg latency, 47.0 ms max latency.
6489 records sent, 1297.8 records/sec (126.74 MB/sec), 7.5 ms avg latency, 52.0 ms max latency.
100000 records sent, 1176.747470 records/sec (114.92 MB/sec), 8.76 ms avg latency, 721.00 ms max latency, 5 ms 50th, 21 ms 95th, 80 ms 99th, 198 ms 99.9th.
