producer_index=7
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 8918.0 ms avg latency, 8918.0 ms max latency.
249 records sent, 49.6 records/sec (4.84 MB/sec), 1428.5 ms avg latency, 2128.0 ms max latency.
298 records sent, 58.9 records/sec (5.75 MB/sec), 600.9 ms avg latency, 1709.0 ms max latency.
289 records sent, 57.7 records/sec (5.63 MB/sec), 116.5 ms avg latency, 263.0 ms max latency.
310 records sent, 61.9 records/sec (6.05 MB/sec), 83.2 ms avg latency, 246.0 ms max latency.
332 records sent, 66.0 records/sec (6.45 MB/sec), 47.3 ms avg latency, 182.0 ms max latency.
444 records sent, 88.5 records/sec (8.64 MB/sec), 78.2 ms avg latency, 466.0 ms max latency.
416 records sent, 83.0 records/sec (8.10 MB/sec), 71.2 ms avg latency, 617.0 ms max latency.
503 records sent, 100.4 records/sec (9.80 MB/sec), 70.7 ms avg latency, 372.0 ms max latency.
356 records sent, 71.0 records/sec (6.93 MB/sec), 34.5 ms avg latency, 156.0 ms max latency.
372 records sent, 73.8 records/sec (7.20 MB/sec), 26.1 ms avg latency, 129.0 ms max latency.
351 records sent, 69.8 records/sec (6.81 MB/sec), 26.4 ms avg latency, 184.0 ms max latency.
403 records sent, 80.6 records/sec (7.87 MB/sec), 36.8 ms avg latency, 117.0 ms max latency.
362 records sent, 72.0 records/sec (7.03 MB/sec), 29.1 ms avg latency, 122.0 ms max latency.
370 records sent, 73.9 records/sec (7.22 MB/sec), 35.5 ms avg latency, 155.0 ms max latency.
348 records sent, 68.6 records/sec (6.70 MB/sec), 36.9 ms avg latency, 219.0 ms max latency.
367 records sent, 72.2 records/sec (7.05 MB/sec), 42.4 ms avg latency, 261.0 ms max latency.
401 records sent, 80.0 records/sec (7.81 MB/sec), 33.0 ms avg latency, 141.0 ms max latency.
371 records sent, 73.7 records/sec (7.20 MB/sec), 41.3 ms avg latency, 227.0 ms max latency.
380 records sent, 75.9 records/sec (7.41 MB/sec), 28.9 ms avg latency, 102.0 ms max latency.
368 records sent, 73.4 records/sec (7.17 MB/sec), 27.8 ms avg latency, 102.0 ms max latency.
374 records sent, 74.7 records/sec (7.30 MB/sec), 29.8 ms avg latency, 125.0 ms max latency.
356 records sent, 71.0 records/sec (6.93 MB/sec), 26.3 ms avg latency, 97.0 ms max latency.
8333 records sent, 67.536573 records/sec (6.60 MB/sec), 108.72 ms avg latency, 8918.00 ms max latency, 30 ms 50th, 425 ms 95th, 1524 ms 99th, 1826 ms 99.9th.
