producer_index=2
producer_count=6
producer_records=16667
producer_throughput=167
217 records sent, 43.1 records/sec (0.42 MB/sec), 447.6 ms avg latency, 4241.0 ms max latency.
1464 records sent, 292.6 records/sec (2.86 MB/sec), 240.3 ms avg latency, 754.0 ms max latency.
836 records sent, 167.1 records/sec (1.63 MB/sec), 8.4 ms avg latency, 48.0 ms max latency.
836 records sent, 167.0 records/sec (1.63 MB/sec), 9.2 ms avg latency, 31.0 ms max latency.
835 records sent, 166.9 records/sec (1.63 MB/sec), 9.1 ms avg latency, 37.0 ms max latency.
837 records sent, 167.2 records/sec (1.63 MB/sec), 9.4 ms avg latency, 47.0 ms max latency.
836 records sent, 167.1 records/sec (1.63 MB/sec), 11.1 ms avg latency, 63.0 ms max latency.
836 records sent, 167.0 records/sec (1.63 MB/sec), 10.3 ms avg latency, 77.0 ms max latency.
837 records sent, 165.9 records/sec (1.62 MB/sec), 10.8 ms avg latency, 83.0 ms max latency.
854 records sent, 170.7 records/sec (1.67 MB/sec), 12.4 ms avg latency, 133.0 ms max latency.
836 records sent, 167.0 records/sec (1.63 MB/sec), 8.5 ms avg latency, 65.0 ms max latency.
836 records sent, 167.2 records/sec (1.63 MB/sec), 9.2 ms avg latency, 79.0 ms max latency.
836 records sent, 167.0 records/sec (1.63 MB/sec), 6.9 ms avg latency, 37.0 ms max latency.
836 records sent, 167.1 records/sec (1.63 MB/sec), 7.1 ms avg latency, 85.0 ms max latency.
836 records sent, 167.0 records/sec (1.63 MB/sec), 6.4 ms avg latency, 17.0 ms max latency.
836 records sent, 167.1 records/sec (1.63 MB/sec), 6.2 ms avg latency, 16.0 ms max latency.
836 records sent, 167.1 records/sec (1.63 MB/sec), 6.3 ms avg latency, 25.0 ms max latency.
836 records sent, 167.0 records/sec (1.63 MB/sec), 6.3 ms avg latency, 36.0 ms max latency.
836 records sent, 167.2 records/sec (1.63 MB/sec), 6.2 ms avg latency, 16.0 ms max latency.
16667 records sent, 166.910351 records/sec (1.63 MB/sec), 34.45 ms avg latency, 4241.00 ms max latency, 7 ms 50th, 292 ms 95th, 585 ms 99th, 746 ms 99.9th.
