producer_index=4
producer_count=6
producer_records=16667
producer_throughput=167
50 records sent, 10.0 records/sec (0.10 MB/sec), 835.8 ms avg latency, 4188.0 ms max latency.
1050 records sent, 209.6 records/sec (2.05 MB/sec), 2616.0 ms avg latency, 3400.0 ms max latency.
1417 records sent, 282.7 records/sec (2.76 MB/sec), 1163.1 ms avg latency, 3497.0 ms max latency.
840 records sent, 167.9 records/sec (1.64 MB/sec), 13.0 ms avg latency, 60.0 ms max latency.
828 records sent, 164.5 records/sec (1.61 MB/sec), 12.6 ms avg latency, 84.0 ms max latency.
850 records sent, 170.0 records/sec (1.66 MB/sec), 13.3 ms avg latency, 113.0 ms max latency.
838 records sent, 167.6 records/sec (1.64 MB/sec), 12.2 ms avg latency, 96.0 ms max latency.
836 records sent, 167.0 records/sec (1.63 MB/sec), 10.5 ms avg latency, 72.0 ms max latency.
835 records sent, 167.0 records/sec (1.63 MB/sec), 10.6 ms avg latency, 97.0 ms max latency.
837 records sent, 167.2 records/sec (1.63 MB/sec), 11.7 ms avg latency, 84.0 ms max latency.
836 records sent, 166.8 records/sec (1.63 MB/sec), 11.2 ms avg latency, 85.0 ms max latency.
837 records sent, 167.3 records/sec (1.63 MB/sec), 9.1 ms avg latency, 87.0 ms max latency.
835 records sent, 167.0 records/sec (1.63 MB/sec), 8.9 ms avg latency, 48.0 ms max latency.
835 records sent, 167.0 records/sec (1.63 MB/sec), 7.0 ms avg latency, 55.0 ms max latency.
836 records sent, 167.1 records/sec (1.63 MB/sec), 8.1 ms avg latency, 44.0 ms max latency.
835 records sent, 167.0 records/sec (1.63 MB/sec), 6.7 ms avg latency, 31.0 ms max latency.
836 records sent, 167.2 records/sec (1.63 MB/sec), 7.1 ms avg latency, 75.0 ms max latency.
835 records sent, 167.0 records/sec (1.63 MB/sec), 6.5 ms avg latency, 29.0 ms max latency.
835 records sent, 166.8 records/sec (1.63 MB/sec), 7.7 ms avg latency, 118.0 ms max latency.
16667 records sent, 166.942116 records/sec (1.63 MB/sec), 274.35 ms avg latency, 4188.00 ms max latency, 8 ms 50th, 2726 ms 95th, 3267 ms 99th, 3426 ms 99.9th.
