run_id=security-overhead-final-factorial-plaintext-b5-rf5-isr3-msg102400-tps1000-batch131072-acks1-prod1-complz4-trial3
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-plaintext-b5-rf5-isr3-msg102400-tps1000-batch131072-acks1-prod1-complz4-trial3/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
3109 records sent, 620.8 records/sec (60.63 MB/sec), 12.1 ms avg latency, 666.0 ms max latency.
4198 records sent, 839.4 records/sec (81.98 MB/sec), 3.9 ms avg latency, 35.0 ms max latency.
4031 records sent, 806.2 records/sec (78.73 MB/sec), 3.8 ms avg latency, 61.0 ms max latency.
4574 records sent, 914.6 records/sec (89.32 MB/sec), 4.1 ms avg latency, 54.0 ms max latency.
6086 records sent, 1217.0 records/sec (118.84 MB/sec), 3.8 ms avg latency, 66.0 ms max latency.
6492 records sent, 1298.1 records/sec (126.77 MB/sec), 3.4 ms avg latency, 35.0 ms max latency.
6440 records sent, 1287.7 records/sec (125.76 MB/sec), 4.1 ms avg latency, 60.0 ms max latency.
5095 records sent, 1018.8 records/sec (99.49 MB/sec), 4.1 ms avg latency, 83.0 ms max latency.
5002 records sent, 1000.2 records/sec (97.68 MB/sec), 3.8 ms avg latency, 68.0 ms max latency.
5003 records sent, 1000.2 records/sec (97.68 MB/sec), 3.5 ms avg latency, 69.0 ms max latency.
5004 records sent, 1000.8 records/sec (97.73 MB/sec), 3.2 ms avg latency, 52.0 ms max latency.
4997 records sent, 999.0 records/sec (97.56 MB/sec), 3.5 ms avg latency, 64.0 ms max latency.
5009 records sent, 1001.8 records/sec (97.83 MB/sec), 14.6 ms avg latency, 310.0 ms max latency.
5004 records sent, 1000.6 records/sec (97.71 MB/sec), 7.9 ms avg latency, 273.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 3.5 ms avg latency, 60.0 ms max latency.
5003 records sent, 1000.2 records/sec (97.68 MB/sec), 3.4 ms avg latency, 56.0 ms max latency.
5003 records sent, 1000.6 records/sec (97.71 MB/sec), 3.2 ms avg latency, 58.0 ms max latency.
5000 records sent, 1000.0 records/sec (97.66 MB/sec), 3.3 ms avg latency, 61.0 ms max latency.
5002 records sent, 1000.0 records/sec (97.66 MB/sec), 3.6 ms avg latency, 55.0 ms max latency.
100000 records sent, 999.660116 records/sec (97.62 MB/sec), 4.64 ms avg latency, 666.00 ms max latency, 3 ms 50th, 10 ms 95th, 51 ms 99th, 153 ms 99.9th.
