run_id=security-overhead-final-factorial-plaintext-b5-rf5-isr4-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial2
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-plaintext-b5-rf5-isr4-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial2/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4991 records sent, 997.8 records/sec (0.97 MB/sec), 20.6 ms avg latency, 769.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.6 ms avg latency, 32.0 ms max latency.
5007 records sent, 999.6 records/sec (0.98 MB/sec), 4.3 ms avg latency, 11.0 ms max latency.
5009 records sent, 1001.0 records/sec (0.98 MB/sec), 4.4 ms avg latency, 24.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.3 ms avg latency, 18.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 4.3 ms avg latency, 28.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 4.3 ms avg latency, 15.0 ms max latency.
5004 records sent, 1000.8 records/sec (0.98 MB/sec), 4.2 ms avg latency, 22.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 4.3 ms avg latency, 16.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.2 ms avg latency, 32.0 ms max latency.
5007 records sent, 1000.0 records/sec (0.98 MB/sec), 4.1 ms avg latency, 18.0 ms max latency.
5011 records sent, 1001.0 records/sec (0.98 MB/sec), 4.2 ms avg latency, 17.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 4.2 ms avg latency, 25.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.2 ms avg latency, 16.0 ms max latency.
5005 records sent, 997.8 records/sec (0.97 MB/sec), 4.1 ms avg latency, 19.0 ms max latency.
5017 records sent, 1003.4 records/sec (0.98 MB/sec), 4.2 ms avg latency, 24.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 4.2 ms avg latency, 23.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 16.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 4.4 ms avg latency, 51.0 ms max latency.
100000 records sent, 999.580176 records/sec (0.98 MB/sec), 5.06 ms avg latency, 769.00 ms max latency, 4 ms 50th, 7 ms 95th, 16 ms 99th, 123 ms 99.9th.
