run_id=security-overhead-final-factorial-plaintext-b5-rf5-isr4-msg10240-tps1000-batch16384-acksall-prod1-compnone-trial2
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-plaintext-b5-rf5-isr4-msg10240-tps1000-batch16384-acksall-prod1-compnone-trial2/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4998 records sent, 999.6 records/sec (9.76 MB/sec), 117.7 ms avg latency, 645.0 ms max latency.
5004 records sent, 1000.8 records/sec (9.77 MB/sec), 5.6 ms avg latency, 43.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 5.3 ms avg latency, 46.0 ms max latency.
5002 records sent, 1000.0 records/sec (9.77 MB/sec), 6.6 ms avg latency, 51.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 5.9 ms avg latency, 70.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 5.6 ms avg latency, 48.0 ms max latency.
5002 records sent, 999.6 records/sec (9.76 MB/sec), 5.3 ms avg latency, 39.0 ms max latency.
5006 records sent, 1001.2 records/sec (9.78 MB/sec), 6.2 ms avg latency, 40.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 5.6 ms avg latency, 52.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 5.5 ms avg latency, 55.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 6.6 ms avg latency, 72.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 5.7 ms avg latency, 52.0 ms max latency.
4997 records sent, 997.4 records/sec (9.74 MB/sec), 6.7 ms avg latency, 77.0 ms max latency.
5006 records sent, 1001.2 records/sec (9.78 MB/sec), 12.8 ms avg latency, 215.0 ms max latency.
5009 records sent, 1001.6 records/sec (9.78 MB/sec), 8.4 ms avg latency, 85.0 ms max latency.
5003 records sent, 1000.4 records/sec (9.77 MB/sec), 6.8 ms avg latency, 52.0 ms max latency.
4999 records sent, 999.8 records/sec (9.76 MB/sec), 6.3 ms avg latency, 66.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 6.0 ms avg latency, 42.0 ms max latency.
5003 records sent, 1000.6 records/sec (9.77 MB/sec), 6.2 ms avg latency, 60.0 ms max latency.
100000 records sent, 999.560194 records/sec (9.76 MB/sec), 12.05 ms avg latency, 645.00 ms max latency, 5 ms 50th, 22 ms 95th, 326 ms 99th, 504 ms 99.9th.
