producer_index=6
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 9304.0 ms avg latency, 9304.0 ms max latency.
184 records sent, 35.5 records/sec (0.35 MB/sec), 2879.8 ms avg latency, 4520.0 ms max latency.
318 records sent, 62.9 records/sec (0.61 MB/sec), 6165.7 ms avg latency, 7344.0 ms max latency.
599 records sent, 118.1 records/sec (1.15 MB/sec), 8240.0 ms avg latency, 8926.0 ms max latency.
972 records sent, 194.1 records/sec (1.90 MB/sec), 7810.9 ms avg latency, 9638.0 ms max latency.
809 records sent, 157.0 records/sec (1.53 MB/sec), 1880.8 ms avg latency, 5096.0 ms max latency.
434 records sent, 86.7 records/sec (0.85 MB/sec), 34.7 ms avg latency, 222.0 ms max latency.
413 records sent, 82.6 records/sec (0.81 MB/sec), 25.9 ms avg latency, 116.0 ms max latency.
419 records sent, 83.7 records/sec (0.82 MB/sec), 24.6 ms avg latency, 108.0 ms max latency.
416 records sent, 83.2 records/sec (0.81 MB/sec), 31.2 ms avg latency, 271.0 ms max latency.
420 records sent, 83.9 records/sec (0.82 MB/sec), 26.6 ms avg latency, 146.0 ms max latency.
415 records sent, 83.0 records/sec (0.81 MB/sec), 32.8 ms avg latency, 230.0 ms max latency.
416 records sent, 81.8 records/sec (0.80 MB/sec), 23.5 ms avg latency, 126.0 ms max latency.
418 records sent, 83.5 records/sec (0.82 MB/sec), 29.5 ms avg latency, 168.0 ms max latency.
418 records sent, 82.4 records/sec (0.80 MB/sec), 28.5 ms avg latency, 142.0 ms max latency.
424 records sent, 84.8 records/sec (0.83 MB/sec), 23.9 ms avg latency, 125.0 ms max latency.
415 records sent, 82.9 records/sec (0.81 MB/sec), 22.4 ms avg latency, 142.0 ms max latency.
415 records sent, 82.9 records/sec (0.81 MB/sec), 20.3 ms avg latency, 90.0 ms max latency.
418 records sent, 83.5 records/sec (0.82 MB/sec), 20.5 ms avg latency, 110.0 ms max latency.
8333 records sent, 82.813245 records/sec (0.81 MB/sec), 2003.34 ms avg latency, 9638.00 ms max latency, 30 ms 50th, 8840 ms 95th, 9405 ms 99th, 9581 ms 99.9th.
