producer_index=11
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 13786.0 ms avg latency, 13786.0 ms max latency.
144 records sent, 28.5 records/sec (0.28 MB/sec), 5264.4 ms avg latency, 7248.0 ms max latency.
478 records sent, 95.4 records/sec (0.93 MB/sec), 8984.7 ms avg latency, 10457.0 ms max latency.
838 records sent, 164.4 records/sec (1.61 MB/sec), 11597.1 ms avg latency, 13033.0 ms max latency.
1270 records sent, 253.9 records/sec (2.48 MB/sec), 6457.5 ms avg latency, 11677.0 ms max latency.
513 records sent, 102.4 records/sec (1.00 MB/sec), 178.1 ms avg latency, 1278.0 ms max latency.
417 records sent, 83.4 records/sec (0.81 MB/sec), 15.9 ms avg latency, 61.0 ms max latency.
417 records sent, 83.4 records/sec (0.81 MB/sec), 16.0 ms avg latency, 85.0 ms max latency.
416 records sent, 83.2 records/sec (0.81 MB/sec), 14.0 ms avg latency, 57.0 ms max latency.
416 records sent, 83.2 records/sec (0.81 MB/sec), 13.2 ms avg latency, 80.0 ms max latency.
416 records sent, 83.1 records/sec (0.81 MB/sec), 12.8 ms avg latency, 51.0 ms max latency.
417 records sent, 83.1 records/sec (0.81 MB/sec), 12.1 ms avg latency, 37.0 ms max latency.
417 records sent, 83.3 records/sec (0.81 MB/sec), 12.2 ms avg latency, 44.0 ms max latency.
415 records sent, 83.0 records/sec (0.81 MB/sec), 11.6 ms avg latency, 33.0 ms max latency.
415 records sent, 82.9 records/sec (0.81 MB/sec), 12.5 ms avg latency, 33.0 ms max latency.
416 records sent, 83.2 records/sec (0.81 MB/sec), 11.7 ms avg latency, 27.0 ms max latency.
416 records sent, 83.0 records/sec (0.81 MB/sec), 11.4 ms avg latency, 41.0 ms max latency.
416 records sent, 83.1 records/sec (0.81 MB/sec), 10.5 ms avg latency, 25.0 ms max latency.
8333 records sent, 82.717888 records/sec (0.81 MB/sec), 2777.18 ms avg latency, 13786.00 ms max latency, 16 ms 50th, 11661 ms 95th, 12441 ms 99th, 13000 ms 99.9th.
