producer_index=11
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.01 MB/sec), 16423.0 ms avg latency, 16423.0 ms max latency.
60 records sent, 11.5 records/sec (1.12 MB/sec), 6771.1 ms avg latency, 7957.0 ms max latency.
96 records sent, 18.7 records/sec (1.83 MB/sec), 8617.9 ms avg latency, 10736.0 ms max latency.
150 records sent, 29.5 records/sec (2.88 MB/sec), 11003.7 ms avg latency, 12977.0 ms max latency.
256 records sent, 51.0 records/sec (4.98 MB/sec), 7711.7 ms avg latency, 11116.0 ms max latency.
336 records sent, 65.0 records/sec (6.35 MB/sec), 3280.5 ms avg latency, 5989.0 ms max latency.
342 records sent, 67.4 records/sec (6.58 MB/sec), 1664.0 ms avg latency, 2837.0 ms max latency.
295 records sent, 58.6 records/sec (5.72 MB/sec), 264.5 ms avg latency, 1199.0 ms max latency.
298 records sent, 59.2 records/sec (5.79 MB/sec), 147.9 ms avg latency, 533.0 ms max latency.
278 records sent, 54.9 records/sec (5.36 MB/sec), 74.5 ms avg latency, 294.0 ms max latency.
282 records sent, 56.3 records/sec (5.50 MB/sec), 83.8 ms avg latency, 211.0 ms max latency.
300 records sent, 60.0 records/sec (5.86 MB/sec), 76.8 ms avg latency, 268.0 ms max latency.
306 records sent, 61.1 records/sec (5.97 MB/sec), 72.4 ms avg latency, 397.0 ms max latency.
306 records sent, 61.2 records/sec (5.98 MB/sec), 80.1 ms avg latency, 236.0 ms max latency.
320 records sent, 63.8 records/sec (6.23 MB/sec), 56.1 ms avg latency, 217.0 ms max latency.
338 records sent, 67.4 records/sec (6.58 MB/sec), 76.9 ms avg latency, 330.0 ms max latency.
330 records sent, 66.0 records/sec (6.45 MB/sec), 83.9 ms avg latency, 341.0 ms max latency.
314 records sent, 62.5 records/sec (6.11 MB/sec), 55.2 ms avg latency, 198.0 ms max latency.
319 records sent, 63.7 records/sec (6.22 MB/sec), 65.3 ms avg latency, 279.0 ms max latency.
334 records sent, 65.4 records/sec (6.39 MB/sec), 63.1 ms avg latency, 211.0 ms max latency.
337 records sent, 67.1 records/sec (6.55 MB/sec), 269.5 ms avg latency, 807.0 ms max latency.
326 records sent, 65.1 records/sec (6.36 MB/sec), 65.2 ms avg latency, 241.0 ms max latency.
337 records sent, 67.2 records/sec (6.56 MB/sec), 54.6 ms avg latency, 178.0 ms max latency.
317 records sent, 63.3 records/sec (6.19 MB/sec), 64.9 ms avg latency, 221.0 ms max latency.
324 records sent, 64.5 records/sec (6.30 MB/sec), 60.3 ms avg latency, 218.0 ms max latency.
320 records sent, 63.8 records/sec (6.23 MB/sec), 83.5 ms avg latency, 426.0 ms max latency.
339 records sent, 66.9 records/sec (6.53 MB/sec), 58.7 ms avg latency, 260.0 ms max latency.
347 records sent, 69.2 records/sec (6.75 MB/sec), 58.6 ms avg latency, 211.0 ms max latency.
345 records sent, 68.9 records/sec (6.73 MB/sec), 45.8 ms avg latency, 132.0 ms max latency.
8333 records sent, 52.223232 records/sec (5.10 MB/sec), 860.51 ms avg latency, 16423.00 ms max latency, 66 ms 50th, 6994 ms 95th, 10872 ms 99th, 12131 ms 99.9th.
