producer_index=11
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.01 MB/sec), 16397.0 ms avg latency, 16397.0 ms max latency.
62 records sent, 11.9 records/sec (1.16 MB/sec), 6561.5 ms avg latency, 7956.0 ms max latency.
102 records sent, 19.1 records/sec (1.86 MB/sec), 8540.2 ms avg latency, 10404.0 ms max latency.
168 records sent, 32.8 records/sec (3.21 MB/sec), 10458.8 ms avg latency, 11579.0 ms max latency.
136 records sent, 26.6 records/sec (2.60 MB/sec), 8963.8 ms avg latency, 10435.0 ms max latency.
144 records sent, 28.2 records/sec (2.76 MB/sec), 9113.4 ms avg latency, 10551.0 ms max latency.
316 records sent, 62.6 records/sec (6.12 MB/sec), 6343.1 ms avg latency, 9696.0 ms max latency.
390 records sent, 77.8 records/sec (7.60 MB/sec), 2282.3 ms avg latency, 3773.0 ms max latency.
343 records sent, 68.4 records/sec (6.68 MB/sec), 248.5 ms avg latency, 1266.0 ms max latency.
276 records sent, 55.1 records/sec (5.38 MB/sec), 66.2 ms avg latency, 183.0 ms max latency.
308 records sent, 61.0 records/sec (5.96 MB/sec), 73.7 ms avg latency, 259.0 ms max latency.
292 records sent, 57.9 records/sec (5.65 MB/sec), 62.2 ms avg latency, 248.0 ms max latency.
267 records sent, 52.5 records/sec (5.12 MB/sec), 71.5 ms avg latency, 240.0 ms max latency.
317 records sent, 63.2 records/sec (6.17 MB/sec), 59.5 ms avg latency, 209.0 ms max latency.
317 records sent, 62.3 records/sec (6.09 MB/sec), 62.1 ms avg latency, 217.0 ms max latency.
316 records sent, 62.9 records/sec (6.14 MB/sec), 67.9 ms avg latency, 260.0 ms max latency.
327 records sent, 65.3 records/sec (6.38 MB/sec), 62.8 ms avg latency, 209.0 ms max latency.
335 records sent, 66.5 records/sec (6.49 MB/sec), 45.5 ms avg latency, 193.0 ms max latency.
327 records sent, 65.2 records/sec (6.36 MB/sec), 54.5 ms avg latency, 201.0 ms max latency.
336 records sent, 66.6 records/sec (6.51 MB/sec), 58.2 ms avg latency, 384.0 ms max latency.
337 records sent, 67.3 records/sec (6.57 MB/sec), 147.0 ms avg latency, 743.0 ms max latency.
321 records sent, 64.0 records/sec (6.25 MB/sec), 46.8 ms avg latency, 172.0 ms max latency.
336 records sent, 67.2 records/sec (6.56 MB/sec), 51.5 ms avg latency, 200.0 ms max latency.
313 records sent, 62.1 records/sec (6.07 MB/sec), 58.3 ms avg latency, 229.0 ms max latency.
339 records sent, 67.5 records/sec (6.59 MB/sec), 49.9 ms avg latency, 200.0 ms max latency.
326 records sent, 64.7 records/sec (6.32 MB/sec), 52.5 ms avg latency, 163.0 ms max latency.
312 records sent, 62.1 records/sec (6.06 MB/sec), 52.8 ms avg latency, 254.0 ms max latency.
336 records sent, 66.7 records/sec (6.51 MB/sec), 49.6 ms avg latency, 194.0 ms max latency.
395 records sent, 78.2 records/sec (7.64 MB/sec), 48.4 ms avg latency, 242.0 ms max latency.
8333 records sent, 52.171899 records/sec (5.09 MB/sec), 1076.18 ms avg latency, 16397.00 ms max latency, 57 ms 50th, 8887 ms 95th, 10494 ms 99th, 11202 ms 99.9th.
