producer_index=2
producer_count=6
producer_records=16667
producer_throughput=1667
1 records sent, 0.1 records/sec (0.01 MB/sec), 7470.0 ms avg latency, 7470.0 ms max latency.
174 records sent, 34.6 records/sec (3.38 MB/sec), 3883.3 ms avg latency, 5625.0 ms max latency.
366 records sent, 73.2 records/sec (7.15 MB/sec), 4321.1 ms avg latency, 6249.0 ms max latency.
610 records sent, 121.3 records/sec (11.85 MB/sec), 2544.8 ms avg latency, 4088.0 ms max latency.
930 records sent, 185.9 records/sec (18.16 MB/sec), 574.0 ms avg latency, 1514.0 ms max latency.
793 records sent, 158.4 records/sec (15.47 MB/sec), 41.7 ms avg latency, 168.0 ms max latency.
734 records sent, 146.8 records/sec (14.34 MB/sec), 25.6 ms avg latency, 86.0 ms max latency.
860 records sent, 171.8 records/sec (16.78 MB/sec), 28.9 ms avg latency, 159.0 ms max latency.
794 records sent, 158.5 records/sec (15.48 MB/sec), 23.1 ms avg latency, 83.0 ms max latency.
813 records sent, 162.6 records/sec (15.88 MB/sec), 20.2 ms avg latency, 86.0 ms max latency.
853 records sent, 170.5 records/sec (16.65 MB/sec), 23.1 ms avg latency, 129.0 ms max latency.
834 records sent, 166.6 records/sec (16.27 MB/sec), 18.2 ms avg latency, 122.0 ms max latency.
829 records sent, 165.8 records/sec (16.19 MB/sec), 16.5 ms avg latency, 66.0 ms max latency.
910 records sent, 181.7 records/sec (17.74 MB/sec), 18.8 ms avg latency, 85.0 ms max latency.
873 records sent, 174.3 records/sec (17.02 MB/sec), 20.3 ms avg latency, 143.0 ms max latency.
863 records sent, 172.6 records/sec (16.85 MB/sec), 73.1 ms avg latency, 637.0 ms max latency.
826 records sent, 165.0 records/sec (16.11 MB/sec), 13.4 ms avg latency, 49.0 ms max latency.
850 records sent, 169.9 records/sec (16.59 MB/sec), 13.8 ms avg latency, 54.0 ms max latency.
854 records sent, 170.4 records/sec (16.64 MB/sec), 13.2 ms avg latency, 53.0 ms max latency.
866 records sent, 173.2 records/sec (16.91 MB/sec), 13.1 ms avg latency, 47.0 ms max latency.
915 records sent, 182.8 records/sec (17.85 MB/sec), 15.0 ms avg latency, 63.0 ms max latency.
970 records sent, 193.9 records/sec (18.93 MB/sec), 18.1 ms avg latency, 118.0 ms max latency.
16667 records sent, 146.878167 records/sec (14.34 MB/sec), 281.20 ms avg latency, 7470.00 ms max latency, 18 ms 50th, 2505 ms 95th, 4628 ms 99th, 5649 ms 99.9th.
