run_id=security-overhead-final-factorial-tls-b3-rf3-isr3-msg10240-tps1000-batch131072-acksall-prod1-complz4-trial2
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-tls-b3-rf3-isr3-msg10240-tps1000-batch131072-acksall-prod1-complz4-trial2/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4999 records sent, 998.8 records/sec (9.75 MB/sec), 156.9 ms avg latency, 1098.0 ms max latency.
5008 records sent, 1000.2 records/sec (9.77 MB/sec), 6.0 ms avg latency, 28.0 ms max latency.
5003 records sent, 1000.4 records/sec (9.77 MB/sec), 5.9 ms avg latency, 19.0 ms max latency.
5005 records sent, 1000.0 records/sec (9.77 MB/sec), 5.8 ms avg latency, 29.0 ms max latency.
5004 records sent, 1000.2 records/sec (9.77 MB/sec), 5.6 ms avg latency, 16.0 ms max latency.
5006 records sent, 1000.4 records/sec (9.77 MB/sec), 5.6 ms avg latency, 25.0 ms max latency.
5006 records sent, 1000.2 records/sec (9.77 MB/sec), 5.6 ms avg latency, 27.0 ms max latency.
5006 records sent, 1000.0 records/sec (9.77 MB/sec), 5.8 ms avg latency, 29.0 ms max latency.
5003 records sent, 1000.2 records/sec (9.77 MB/sec), 5.8 ms avg latency, 29.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 5.5 ms avg latency, 12.0 ms max latency.
5005 records sent, 1000.0 records/sec (9.77 MB/sec), 6.1 ms avg latency, 57.0 ms max latency.
5002 records sent, 1000.4 records/sec (9.77 MB/sec), 6.5 ms avg latency, 74.0 ms max latency.
5003 records sent, 1000.2 records/sec (9.77 MB/sec), 7.1 ms avg latency, 73.0 ms max latency.
5005 records sent, 1000.0 records/sec (9.77 MB/sec), 7.5 ms avg latency, 70.0 ms max latency.
5007 records sent, 1000.2 records/sec (9.77 MB/sec), 5.4 ms avg latency, 25.0 ms max latency.
5002 records sent, 1000.0 records/sec (9.77 MB/sec), 5.6 ms avg latency, 26.0 ms max latency.
5003 records sent, 1000.4 records/sec (9.77 MB/sec), 5.3 ms avg latency, 10.0 ms max latency.
5006 records sent, 1000.4 records/sec (9.77 MB/sec), 5.8 ms avg latency, 57.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 5.4 ms avg latency, 12.0 ms max latency.
100000 records sent, 999.640130 records/sec (9.76 MB/sec), 13.47 ms avg latency, 1098.00 ms max latency, 6 ms 50th, 9 ms 95th, 421 ms 99th, 616 ms 99.9th.
