run_id=security-overhead-final-factorial-tls-b3-rf3-isr3-msg102400-tps1000-batch16384-acks1-prod1-compnone-trial3
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-tls-b3-rf3-isr3-msg102400-tps1000-batch16384-acks1-prod1-compnone-trial3/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
2623 records sent, 524.6 records/sec (51.23 MB/sec), 399.4 ms avg latency, 1103.0 ms max latency.
6031 records sent, 1206.0 records/sec (117.77 MB/sec), 8.4 ms avg latency, 47.0 ms max latency.
6331 records sent, 1265.9 records/sec (123.63 MB/sec), 7.8 ms avg latency, 46.0 ms max latency.
5024 records sent, 1004.8 records/sec (98.13 MB/sec), 5.7 ms avg latency, 40.0 ms max latency.
5000 records sent, 1000.0 records/sec (97.66 MB/sec), 5.8 ms avg latency, 55.0 ms max latency.
5002 records sent, 1000.2 records/sec (97.68 MB/sec), 5.9 ms avg latency, 49.0 ms max latency.
5000 records sent, 1000.0 records/sec (97.66 MB/sec), 6.0 ms avg latency, 59.0 ms max latency.
5003 records sent, 1000.6 records/sec (97.71 MB/sec), 5.9 ms avg latency, 46.0 ms max latency.
4999 records sent, 999.8 records/sec (97.64 MB/sec), 5.6 ms avg latency, 62.0 ms max latency.
5002 records sent, 1000.4 records/sec (97.70 MB/sec), 6.1 ms avg latency, 87.0 ms max latency.
5003 records sent, 1000.2 records/sec (97.68 MB/sec), 5.7 ms avg latency, 54.0 ms max latency.
5000 records sent, 999.8 records/sec (97.64 MB/sec), 6.1 ms avg latency, 72.0 ms max latency.
4924 records sent, 984.8 records/sec (96.17 MB/sec), 26.1 ms avg latency, 442.0 ms max latency.
5074 records sent, 1014.8 records/sec (99.10 MB/sec), 17.7 ms avg latency, 275.0 ms max latency.
5006 records sent, 1001.2 records/sec (97.77 MB/sec), 5.9 ms avg latency, 67.0 ms max latency.
4997 records sent, 999.2 records/sec (97.58 MB/sec), 5.8 ms avg latency, 52.0 ms max latency.
5006 records sent, 1001.2 records/sec (97.77 MB/sec), 5.9 ms avg latency, 56.0 ms max latency.
4994 records sent, 998.8 records/sec (97.54 MB/sec), 6.2 ms avg latency, 84.0 ms max latency.
5003 records sent, 1000.4 records/sec (97.70 MB/sec), 5.9 ms avg latency, 121.0 ms max latency.
100000 records sent, 999.760058 records/sec (97.63 MB/sec), 18.07 ms avg latency, 1103.00 ms max latency, 6 ms 50th, 25 ms 95th, 478 ms 99th, 920 ms 99.9th.
