producer_index=8
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 4285.0 ms avg latency, 4285.0 ms max latency.
56 records sent, 11.1 records/sec (1.08 MB/sec), 6657.4 ms avg latency, 15986.0 ms max latency.
96 records sent, 18.8 records/sec (1.83 MB/sec), 9306.5 ms avg latency, 11470.0 ms max latency.
144 records sent, 28.3 records/sec (2.76 MB/sec), 12485.2 ms avg latency, 14138.0 ms max latency.
144 records sent, 28.4 records/sec (2.77 MB/sec), 13575.0 ms avg latency, 15304.0 ms max latency.
154 records sent, 30.6 records/sec (2.99 MB/sec), 11428.6 ms avg latency, 13094.0 ms max latency.
216 records sent, 43.0 records/sec (4.20 MB/sec), 10298.4 ms avg latency, 11447.0 ms max latency.
374 records sent, 74.7 records/sec (7.29 MB/sec), 5632.4 ms avg latency, 8966.0 ms max latency.
508 records sent, 100.1 records/sec (9.77 MB/sec), 2830.2 ms avg latency, 4460.0 ms max latency.
425 records sent, 84.3 records/sec (8.23 MB/sec), 431.8 ms avg latency, 1341.0 ms max latency.
382 records sent, 76.2 records/sec (7.44 MB/sec), 86.3 ms avg latency, 338.0 ms max latency.
371 records sent, 73.7 records/sec (7.19 MB/sec), 46.3 ms avg latency, 117.0 ms max latency.
352 records sent, 70.2 records/sec (6.86 MB/sec), 51.8 ms avg latency, 159.0 ms max latency.
337 records sent, 67.3 records/sec (6.57 MB/sec), 46.4 ms avg latency, 140.0 ms max latency.
383 records sent, 76.4 records/sec (7.46 MB/sec), 51.8 ms avg latency, 162.0 ms max latency.
399 records sent, 79.5 records/sec (7.76 MB/sec), 42.0 ms avg latency, 121.0 ms max latency.
414 records sent, 82.4 records/sec (8.04 MB/sec), 48.2 ms avg latency, 150.0 ms max latency.
325 records sent, 64.4 records/sec (6.29 MB/sec), 199.7 ms avg latency, 1334.0 ms max latency.
527 records sent, 105.0 records/sec (10.26 MB/sec), 713.2 ms avg latency, 1789.0 ms max latency.
416 records sent, 82.8 records/sec (8.08 MB/sec), 38.1 ms avg latency, 102.0 ms max latency.
404 records sent, 80.8 records/sec (7.89 MB/sec), 38.3 ms avg latency, 156.0 ms max latency.
410 records sent, 81.7 records/sec (7.98 MB/sec), 40.4 ms avg latency, 165.0 ms max latency.
433 records sent, 86.4 records/sec (8.44 MB/sec), 41.8 ms avg latency, 209.0 ms max latency.
437 records sent, 86.7 records/sec (8.47 MB/sec), 56.6 ms avg latency, 289.0 ms max latency.
591 records sent, 118.0 records/sec (11.53 MB/sec), 24.7 ms avg latency, 85.0 ms max latency.
8333 records sent, 60.619508 records/sec (5.92 MB/sec), 1610.93 ms avg latency, 15986.00 ms max latency, 49 ms 50th, 11087 ms 95th, 13654 ms 99th, 14846 ms 99.9th.
