"run_id","benchmark_type","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","records_consumed","throughput_records_per_sec","throughput_mb_per_sec","data_consumed_mb","avg_latency_ms","max_latency_ms","rebalance_time_ms","fetch_time_ms","producer_count_observed","producer_throughput_records_per_sec_min","producer_throughput_records_per_sec_max","producer_avg_latency_ms_min","producer_avg_latency_ms_max","interval_summary_count","interval_avg_latency_ms_p95","interval_avg_latency_ms_p99","interval_max_latency_ms_p95","interval_max_latency_ms_p99","telemetry_host_count","benchmark_client_cpu_percent_mean","broker_cpu_percent_mean","broker_cpu_percent_max_mean","benchmark_client_memory_used_percent_mean","broker_memory_used_percent_mean","benchmark_client_network_rx_bytes_delta","benchmark_client_network_tx_bytes_delta","broker_network_rx_bytes_delta_mean","broker_network_tx_bytes_delta_mean","broker_network_rx_bytes_delta_total","broker_network_tx_bytes_delta_total","benchmark_client_disk_read_sectors_delta","benchmark_client_disk_write_sectors_delta","broker_disk_read_sectors_delta_mean","broker_disk_write_sectors_delta_mean","broker_disk_read_sectors_delta_total","broker_disk_write_sectors_delta_total"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial1","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial1","1","3","3","6","3","3","100000","1024","1000","1","1","131072","5","1","lz4","100000","null","999.740068","0.98","null","5.97","973.0","null","null","1","999.740068","999.740068","5.97","5.97","19","8.169999999999915","36.75400000000001","117.99999999999798","802.0000000000002","4","15.376697247706444","6.459311289361641","24.293333333333333","10.466422018348627","22.949496436200352","5060128","112346665","113605730.0","78994306.0","340817190","236982918","0","30416","0.0","260136.0","0","780408"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial2","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial2","2","3","3","6","3","3","100000","1024","1000","1","1","131072","5","1","lz4","100000","null","999.690096","0.98","null","6.14","975.0","null","null","1","999.690096","999.690096","6.14","6.14","19","8.539999999999907","39.78800000000001","120.89999999999797","804.1800000000003","4","15.197727272727287","6.3905319697136305","22.94666666666667","10.44036363636365","23.002166375803885","5055496","112360273","113611826.66666667","78995305.33333333","340835480","236985916","0","28304","0.0","254581.33333333334","0","763744"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial3","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-complz4-trial3","3","3","3","6","3","3","100000","1024","1000","1","1","131072","5","1","lz4","100000","null","999.670109","0.98","null","6.48","1059.0","null","null","1","999.670109","999.670109","6.48","6.48","19","9.139999999999892","45.42800000000001","130.1999999999978","873.2400000000002","4","15.039909090909113","6.364694116757414","20.323333333333334","10.479818181818187","23.00745397977703","5083962","112384905","113643934.66666667","79031240.33333333","340931804","237093721","0","31208","0.0","256738.66666666666","0","770216"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1","1","3","3","6","3","3","100000","1024","1000","1","1","131072","5","1","none","100000","null","999.760058","0.98","null","5.52","956.0","null","null","1","999.760058","999.760058","5.52","5.52","19","7.389999999999932","30.35800000000001","119.89999999999802","788.7800000000003","4","14.45063636363638","6.271250554005554","23.936666666666667","10.298636363636378","22.937146953151125","5048120","112082061","113345868.0","78814002.0","340037604","236442006","0","21392","0.0","254069.33333333334","0","762208"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial2","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial2","2","3","3","6","3","3","100000","1024","1000","1","1","131072","5","1","none","100000","null","999.760058","0.98","null","5.61","924.0","null","null","1","999.760058","999.760058","5.61","5.61","19","7.449999999999928","31.570000000000007","118.4999999999981","762.9000000000002","4","16.9562385321101","6.399380630876094","24.74666666666667","10.501376146789","22.95723235174449","5058761","112080247","113332058.33333333","78802348.33333333","339996175","236407045","80","286832","0.0","257306.66666666666","0","771920"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial3","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial3","3","3","3","6","3","3","100000","1024","1000","1","1","131072","5","1","none","100000","null","999.720078","0.98","null","5.84","987.0","null","null","1","999.720078","999.720078","5.84","5.84","19","7.979999999999919","35.19600000000001","124.79999999999797","814.5600000000003","4","14.73311926605506","6.499003562238656","22.960000000000004","10.4765137614679","22.97548156313297","5034861","112062502","113319762.0","78787137.0","339959286","236361411","0","29488","0.0","252234.66666666666","0","756704"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial1","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial1","1","3","3","6","3","3","100000","1024","1000","12","1","131072","5","1","lz4","100000","null","997.6567319999999","0.9599999999999999","null","420.28670379999994","15286.0","null","null","12","82.786095","83.792479","375.92","445.02","212","7453.544999999869","14807.38","13827.9","14820.9","4","94.96303030303032","13.00007068278943","28.21666666666667","23.56303030303031","23.060771950271953","20646830","139905998","144848027.33333334","109595702.33333333","434544082","328787107","0","52056","0.0","256709.33333333334","0","770128"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial2","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial2","2","3","3","6","3","3","100000","1024","1000","12","1","131072","5","1","lz4","100000","null","997.3938210000001","0.9599999999999999","null","425.31860670000003","15189.0","null","null","12","82.735134","83.718407","327.77","497.86","211","2331.85","14363.1","13674.5","14584.0","4","94.21921348314606","12.874860909237727","28.27","22.932471910112362","23.068488684079174","20043157","138844098","143771516.0","108558510.33333333","431314548","325675531","0","69184","0.0","274794.6666666667","0","824384"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial3","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-complz4-trial3","3","3","3","6","3","3","100000","1024","1000","12","1","131072","5","1","lz4","100000","null","998.199087","0.9599999999999999","null","431.9276578","15468.0","null","null","12","82.829709","83.755427","375.57","499.15","212","2553.8549999999977","14780.16","13528.89999999999","14948.759999999998","4","93.07184615384615","12.968376250485626","30.22","19.626000000000005","23.12424536227661","20271927","139230864","143989789.0","108749597.0","431969367","326248791","0","58544","0.0","254133.33333333334","0","762400"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial1","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial1","1","3","3","6","3","3","100000","1024","1000","12","1","131072","5","1","none","100000","null","998.23519","0.9599999999999999","null","388.1386454","15185.0","null","null","12","82.795143","83.864995","340.23","434.51","212","2116.315","14439.21","13741.799999999997","14439.21","4","94.44265957446807","13.780812172202795","34.63","21.441382978723404","23.08237609265733","21572831","140505744","145506346.33333334","110540543.66666667","436519039","331621631","0","59088","0.0","265376.0","0","796128"
