producer_index=1
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.00 MB/sec), 4470.0 ms avg latency, 4470.0 ms max latency.
96 records sent, 18.7 records/sec (0.18 MB/sec), 7111.5 ms avg latency, 16519.0 ms max latency.
192 records sent, 38.3 records/sec (0.37 MB/sec), 10758.6 ms avg latency, 12418.0 ms max latency.
336 records sent, 67.0 records/sec (0.65 MB/sec), 13839.1 ms avg latency, 15265.0 ms max latency.
691 records sent, 137.0 records/sec (1.34 MB/sec), 15581.4 ms avg latency, 16728.0 ms max latency.
899 records sent, 179.6 records/sec (1.75 MB/sec), 17238.7 ms avg latency, 18450.0 ms max latency.
918 records sent, 182.8 records/sec (1.79 MB/sec), 13390.6 ms avg latency, 18334.0 ms max latency.
1098 records sent, 219.3 records/sec (2.14 MB/sec), 10821.1 ms avg latency, 11722.0 ms max latency.
1098 records sent, 218.7 records/sec (2.14 MB/sec), 9631.7 ms avg latency, 10343.0 ms max latency.
1320 records sent, 262.9 records/sec (2.57 MB/sec), 8972.8 ms avg latency, 9466.0 ms max latency.
8334 records sent, 124.458648 records/sec (1.22 MB/sec), 11062.32 ms avg latency, 18450.00 ms max latency, 10107 ms 50th, 17281 ms 95th, 18113 ms 99th, 18316 ms 99.9th.
