producer_index=11
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 5331.0 ms avg latency, 5331.0 ms max latency.
82 records sent, 15.7 records/sec (1.53 MB/sec), 7706.5 ms avg latency, 16586.0 ms max latency.
192 records sent, 37.5 records/sec (3.66 MB/sec), 9757.2 ms avg latency, 11399.0 ms max latency.
330 records sent, 65.2 records/sec (6.37 MB/sec), 5267.6 ms avg latency, 11959.0 ms max latency.
388 records sent, 77.2 records/sec (7.53 MB/sec), 3475.4 ms avg latency, 4108.0 ms max latency.
447 records sent, 88.7 records/sec (8.66 MB/sec), 2655.7 ms avg latency, 3511.0 ms max latency.
503 records sent, 100.3 records/sec (9.80 MB/sec), 1207.0 ms avg latency, 2285.0 ms max latency.
359 records sent, 71.7 records/sec (7.00 MB/sec), 84.9 ms avg latency, 346.0 ms max latency.
352 records sent, 70.3 records/sec (6.86 MB/sec), 74.4 ms avg latency, 299.0 ms max latency.
370 records sent, 73.5 records/sec (7.18 MB/sec), 75.6 ms avg latency, 314.0 ms max latency.
365 records sent, 72.8 records/sec (7.11 MB/sec), 49.5 ms avg latency, 272.0 ms max latency.
381 records sent, 76.1 records/sec (7.43 MB/sec), 50.6 ms avg latency, 153.0 ms max latency.
365 records sent, 72.6 records/sec (7.08 MB/sec), 56.1 ms avg latency, 223.0 ms max latency.
391 records sent, 78.0 records/sec (7.62 MB/sec), 49.2 ms avg latency, 176.0 ms max latency.
398 records sent, 79.4 records/sec (7.75 MB/sec), 44.2 ms avg latency, 140.0 ms max latency.
401 records sent, 80.0 records/sec (7.81 MB/sec), 49.6 ms avg latency, 246.0 ms max latency.
414 records sent, 82.7 records/sec (8.07 MB/sec), 57.6 ms avg latency, 254.0 ms max latency.
396 records sent, 78.7 records/sec (7.69 MB/sec), 41.9 ms avg latency, 219.0 ms max latency.
374 records sent, 74.5 records/sec (7.28 MB/sec), 34.4 ms avg latency, 136.0 ms max latency.
389 records sent, 77.6 records/sec (7.58 MB/sec), 29.9 ms avg latency, 146.0 ms max latency.
406 records sent, 79.9 records/sec (7.81 MB/sec), 30.6 ms avg latency, 176.0 ms max latency.
399 records sent, 79.7 records/sec (7.79 MB/sec), 29.8 ms avg latency, 91.0 ms max latency.
399 records sent, 79.6 records/sec (7.78 MB/sec), 35.8 ms avg latency, 140.0 ms max latency.
8333 records sent, 63.698698 records/sec (6.22 MB/sec), 924.35 ms avg latency, 16586.00 ms max latency, 50 ms 50th, 4983 ms 95th, 10067 ms 99th, 11728 ms 99.9th.
