producer_index=1
producer_count=6
producer_records=16667
producer_throughput=1667
1 records sent, 0.1 records/sec (0.01 MB/sec), 8016.0 ms avg latency, 8016.0 ms max latency.
128 records sent, 25.5 records/sec (2.49 MB/sec), 4386.4 ms avg latency, 5355.0 ms max latency.
324 records sent, 64.7 records/sec (6.32 MB/sec), 5896.3 ms avg latency, 6914.0 ms max latency.
558 records sent, 111.5 records/sec (10.89 MB/sec), 3276.5 ms avg latency, 5384.0 ms max latency.
679 records sent, 135.6 records/sec (13.24 MB/sec), 688.9 ms avg latency, 2120.0 ms max latency.
595 records sent, 118.8 records/sec (11.60 MB/sec), 34.4 ms avg latency, 114.0 ms max latency.
597 records sent, 119.2 records/sec (11.64 MB/sec), 30.2 ms avg latency, 111.0 ms max latency.
655 records sent, 130.9 records/sec (12.79 MB/sec), 33.2 ms avg latency, 153.0 ms max latency.
642 records sent, 128.4 records/sec (12.54 MB/sec), 33.3 ms avg latency, 164.0 ms max latency.
657 records sent, 131.1 records/sec (12.80 MB/sec), 21.3 ms avg latency, 95.0 ms max latency.
636 records sent, 126.9 records/sec (12.39 MB/sec), 29.7 ms avg latency, 122.0 ms max latency.
670 records sent, 133.7 records/sec (13.06 MB/sec), 24.8 ms avg latency, 101.0 ms max latency.
693 records sent, 138.1 records/sec (13.49 MB/sec), 24.7 ms avg latency, 130.0 ms max latency.
665 records sent, 133.0 records/sec (12.99 MB/sec), 24.6 ms avg latency, 97.0 ms max latency.
661 records sent, 131.6 records/sec (12.85 MB/sec), 28.1 ms avg latency, 171.0 ms max latency.
750 records sent, 149.9 records/sec (14.64 MB/sec), 25.1 ms avg latency, 114.0 ms max latency.
701 records sent, 140.1 records/sec (13.68 MB/sec), 25.5 ms avg latency, 204.0 ms max latency.
713 records sent, 142.5 records/sec (13.92 MB/sec), 22.4 ms avg latency, 95.0 ms max latency.
715 records sent, 143.0 records/sec (13.96 MB/sec), 43.2 ms avg latency, 252.0 ms max latency.
772 records sent, 154.4 records/sec (15.08 MB/sec), 33.4 ms avg latency, 228.0 ms max latency.
706 records sent, 141.1 records/sec (13.78 MB/sec), 20.4 ms avg latency, 92.0 ms max latency.
664 records sent, 132.4 records/sec (12.93 MB/sec), 20.6 ms avg latency, 100.0 ms max latency.
706 records sent, 140.9 records/sec (13.76 MB/sec), 20.1 ms avg latency, 150.0 ms max latency.
751 records sent, 150.1 records/sec (14.66 MB/sec), 20.1 ms avg latency, 133.0 ms max latency.
749 records sent, 149.6 records/sec (14.61 MB/sec), 18.7 ms avg latency, 74.0 ms max latency.
927 records sent, 185.1 records/sec (18.08 MB/sec), 17.9 ms avg latency, 145.0 ms max latency.
16667 records sent, 123.140007 records/sec (12.03 MB/sec), 309.62 ms avg latency, 8016.00 ms max latency, 20 ms 50th, 2675 ms 95th, 5817 ms 99th, 6619 ms 99.9th.
