producer_index=10
producer_count=12
producer_records=8333
producer_throughput=83
[2026-04-24 16:28:37,224] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.69:9094 (id: -1 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.1 records/sec (0.01 MB/sec), 18069.0 ms avg latency, 18069.0 ms max latency.
65 records sent, 12.2 records/sec (1.19 MB/sec), 6133.7 ms avg latency, 7944.0 ms max latency.
108 records sent, 21.3 records/sec (2.08 MB/sec), 9177.9 ms avg latency, 10697.0 ms max latency.
198 records sent, 39.0 records/sec (3.81 MB/sec), 10300.4 ms avg latency, 13611.0 ms max latency.
311 records sent, 61.6 records/sec (6.02 MB/sec), 4996.0 ms avg latency, 8199.0 ms max latency.
343 records sent, 68.5 records/sec (6.69 MB/sec), 3919.7 ms avg latency, 4476.0 ms max latency.
404 records sent, 80.2 records/sec (7.83 MB/sec), 3238.4 ms avg latency, 4019.0 ms max latency.
477 records sent, 94.0 records/sec (9.18 MB/sec), 2124.0 ms avg latency, 3213.0 ms max latency.
444 records sent, 88.6 records/sec (8.66 MB/sec), 875.9 ms avg latency, 1827.0 ms max latency.
339 records sent, 67.8 records/sec (6.62 MB/sec), 114.4 ms avg latency, 275.0 ms max latency.
224 records sent, 44.7 records/sec (4.37 MB/sec), 66.9 ms avg latency, 175.0 ms max latency.
78 records sent, 15.5 records/sec (1.51 MB/sec), 32.4 ms avg latency, 74.0 ms max latency.
247 records sent, 49.2 records/sec (4.81 MB/sec), 64.3 ms avg latency, 188.0 ms max latency.
335 records sent, 66.7 records/sec (6.51 MB/sec), 79.7 ms avg latency, 226.0 ms max latency.
343 records sent, 67.6 records/sec (6.60 MB/sec), 83.0 ms avg latency, 304.0 ms max latency.
359 records sent, 71.3 records/sec (6.96 MB/sec), 80.9 ms avg latency, 300.0 ms max latency.
363 records sent, 72.5 records/sec (7.08 MB/sec), 64.6 ms avg latency, 175.0 ms max latency.
359 records sent, 71.6 records/sec (6.99 MB/sec), 73.5 ms avg latency, 261.0 ms max latency.
401 records sent, 79.7 records/sec (7.78 MB/sec), 86.3 ms avg latency, 439.0 ms max latency.
382 records sent, 76.4 records/sec (7.46 MB/sec), 71.2 ms avg latency, 297.0 ms max latency.
358 records sent, 71.5 records/sec (6.98 MB/sec), 43.7 ms avg latency, 164.0 ms max latency.
389 records sent, 77.8 records/sec (7.60 MB/sec), 49.0 ms avg latency, 181.0 ms max latency.
422 records sent, 84.0 records/sec (8.21 MB/sec), 73.6 ms avg latency, 381.0 ms max latency.
360 records sent, 71.7 records/sec (7.00 MB/sec), 40.5 ms avg latency, 155.0 ms max latency.
363 records sent, 72.4 records/sec (7.07 MB/sec), 41.4 ms avg latency, 146.0 ms max latency.
554 records sent, 110.0 records/sec (10.74 MB/sec), 31.8 ms avg latency, 109.0 ms max latency.
8333 records sent, 57.186975 records/sec (5.58 MB/sec), 1132.75 ms avg latency, 18069.00 ms max latency, 74 ms 50th, 5874 ms 95th, 10735 ms 99th, 13178 ms 99.9th.
