producer_index=5
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.01 MB/sec), 16680.0 ms avg latency, 16680.0 ms max latency.
44 records sent, 8.4 records/sec (0.82 MB/sec), 7250.2 ms avg latency, 8615.0 ms max latency.
96 records sent, 18.8 records/sec (1.84 MB/sec), 10077.7 ms avg latency, 12089.0 ms max latency.
181 records sent, 36.1 records/sec (3.53 MB/sec), 11378.5 ms avg latency, 13072.0 ms max latency.
262 records sent, 51.7 records/sec (5.05 MB/sec), 6559.5 ms avg latency, 9670.0 ms max latency.
348 records sent, 68.8 records/sec (6.72 MB/sec), 4043.0 ms avg latency, 5855.0 ms max latency.
412 records sent, 81.3 records/sec (7.94 MB/sec), 3099.3 ms avg latency, 3849.0 ms max latency.
450 records sent, 88.8 records/sec (8.67 MB/sec), 1864.3 ms avg latency, 2959.0 ms max latency.
406 records sent, 80.8 records/sec (7.89 MB/sec), 581.7 ms avg latency, 1553.0 ms max latency.
324 records sent, 64.7 records/sec (6.31 MB/sec), 104.5 ms avg latency, 270.0 ms max latency.
332 records sent, 65.9 records/sec (6.44 MB/sec), 97.7 ms avg latency, 349.0 ms max latency.
375 records sent, 74.3 records/sec (7.26 MB/sec), 106.4 ms avg latency, 411.0 ms max latency.
406 records sent, 80.8 records/sec (7.89 MB/sec), 134.0 ms avg latency, 633.0 ms max latency.
370 records sent, 73.1 records/sec (7.14 MB/sec), 86.9 ms avg latency, 260.0 ms max latency.
356 records sent, 70.9 records/sec (6.92 MB/sec), 92.0 ms avg latency, 349.0 ms max latency.
348 records sent, 69.3 records/sec (6.77 MB/sec), 76.2 ms avg latency, 272.0 ms max latency.
362 records sent, 71.9 records/sec (7.02 MB/sec), 58.6 ms avg latency, 219.0 ms max latency.
368 records sent, 73.2 records/sec (7.15 MB/sec), 76.4 ms avg latency, 312.0 ms max latency.
367 records sent, 73.3 records/sec (7.15 MB/sec), 61.7 ms avg latency, 220.0 ms max latency.
376 records sent, 74.8 records/sec (7.30 MB/sec), 49.8 ms avg latency, 195.0 ms max latency.
400 records sent, 79.5 records/sec (7.77 MB/sec), 67.8 ms avg latency, 376.0 ms max latency.
387 records sent, 76.4 records/sec (7.46 MB/sec), 36.2 ms avg latency, 135.0 ms max latency.
389 records sent, 77.8 records/sec (7.59 MB/sec), 47.3 ms avg latency, 149.0 ms max latency.
374 records sent, 74.8 records/sec (7.30 MB/sec), 43.5 ms avg latency, 162.0 ms max latency.
361 records sent, 72.1 records/sec (7.05 MB/sec), 42.5 ms avg latency, 229.0 ms max latency.
8333 records sent, 58.769598 records/sec (5.74 MB/sec), 1114.38 ms avg latency, 16680.00 ms max latency, 75 ms 50th, 6488 ms 95th, 11864 ms 99th, 12752 ms 99.9th.
