producer_index=1
producer_count=6
producer_records=16667
producer_throughput=167
1 records sent, 0.1 records/sec (0.01 MB/sec), 9238.0 ms avg latency, 9238.0 ms max latency.
123 records sent, 24.6 records/sec (2.40 MB/sec), 4556.2 ms avg latency, 5647.0 ms max latency.
299 records sent, 58.9 records/sec (5.75 MB/sec), 4957.1 ms avg latency, 6140.0 ms max latency.
327 records sent, 65.4 records/sec (6.39 MB/sec), 4739.4 ms avg latency, 5767.0 ms max latency.
663 records sent, 131.9 records/sec (12.88 MB/sec), 1076.1 ms avg latency, 3824.0 ms max latency.
557 records sent, 111.4 records/sec (10.88 MB/sec), 59.5 ms avg latency, 255.0 ms max latency.
447 records sent, 89.3 records/sec (8.72 MB/sec), 41.9 ms avg latency, 130.0 ms max latency.
542 records sent, 107.6 records/sec (10.51 MB/sec), 50.2 ms avg latency, 286.0 ms max latency.
621 records sent, 123.7 records/sec (12.08 MB/sec), 40.8 ms avg latency, 185.0 ms max latency.
561 records sent, 111.8 records/sec (10.92 MB/sec), 43.3 ms avg latency, 141.0 ms max latency.
614 records sent, 121.9 records/sec (11.91 MB/sec), 36.4 ms avg latency, 138.0 ms max latency.
626 records sent, 124.8 records/sec (12.19 MB/sec), 37.7 ms avg latency, 159.0 ms max latency.
663 records sent, 132.6 records/sec (12.95 MB/sec), 52.1 ms avg latency, 278.0 ms max latency.
640 records sent, 127.9 records/sec (12.49 MB/sec), 34.4 ms avg latency, 158.0 ms max latency.
675 records sent, 135.0 records/sec (13.18 MB/sec), 44.5 ms avg latency, 209.0 ms max latency.
614 records sent, 122.5 records/sec (11.97 MB/sec), 42.3 ms avg latency, 132.0 ms max latency.
596 records sent, 119.0 records/sec (11.62 MB/sec), 39.5 ms avg latency, 181.0 ms max latency.
698 records sent, 139.5 records/sec (13.63 MB/sec), 32.4 ms avg latency, 144.0 ms max latency.
625 records sent, 123.5 records/sec (12.06 MB/sec), 33.5 ms avg latency, 127.0 ms max latency.
685 records sent, 136.5 records/sec (13.33 MB/sec), 60.4 ms avg latency, 363.0 ms max latency.
735 records sent, 146.0 records/sec (14.26 MB/sec), 368.1 ms avg latency, 1146.0 ms max latency.
631 records sent, 125.9 records/sec (12.29 MB/sec), 34.9 ms avg latency, 159.0 ms max latency.
636 records sent, 126.9 records/sec (12.39 MB/sec), 32.4 ms avg latency, 164.0 ms max latency.
684 records sent, 136.6 records/sec (13.34 MB/sec), 29.5 ms avg latency, 148.0 ms max latency.
636 records sent, 127.2 records/sec (12.42 MB/sec), 29.0 ms avg latency, 99.0 ms max latency.
647 records sent, 129.3 records/sec (12.63 MB/sec), 28.3 ms avg latency, 143.0 ms max latency.
752 records sent, 150.4 records/sec (14.68 MB/sec), 30.5 ms avg latency, 118.0 ms max latency.
798 records sent, 159.2 records/sec (15.55 MB/sec), 29.8 ms avg latency, 114.0 ms max latency.
16667 records sent, 112.373414 records/sec (10.97 MB/sec), 308.62 ms avg latency, 9238.00 ms max latency, 33 ms 50th, 2349 ms 95th, 5225 ms 99th, 5681 ms 99.9th.
