producer_index=5
producer_count=6
producer_records=16666
producer_throughput=166
1 records sent, 0.1 records/sec (0.01 MB/sec), 9176.0 ms avg latency, 9176.0 ms max latency.
149 records sent, 29.6 records/sec (2.89 MB/sec), 4463.0 ms avg latency, 5643.0 ms max latency.
261 records sent, 51.4 records/sec (5.02 MB/sec), 5693.5 ms avg latency, 7055.0 ms max latency.
276 records sent, 54.4 records/sec (5.32 MB/sec), 4877.4 ms avg latency, 5576.0 ms max latency.
577 records sent, 115.3 records/sec (11.26 MB/sec), 2603.4 ms avg latency, 5069.0 ms max latency.
619 records sent, 123.8 records/sec (12.09 MB/sec), 156.8 ms avg latency, 980.0 ms max latency.
557 records sent, 108.9 records/sec (10.64 MB/sec), 57.0 ms avg latency, 190.0 ms max latency.
565 records sent, 112.8 records/sec (11.02 MB/sec), 49.0 ms avg latency, 207.0 ms max latency.
567 records sent, 112.9 records/sec (11.03 MB/sec), 44.7 ms avg latency, 134.0 ms max latency.
595 records sent, 118.8 records/sec (11.60 MB/sec), 45.9 ms avg latency, 204.0 ms max latency.
559 records sent, 111.4 records/sec (10.88 MB/sec), 42.1 ms avg latency, 172.0 ms max latency.
600 records sent, 120.0 records/sec (11.72 MB/sec), 38.1 ms avg latency, 122.0 ms max latency.
608 records sent, 121.3 records/sec (11.85 MB/sec), 47.0 ms avg latency, 201.0 ms max latency.
603 records sent, 120.6 records/sec (11.77 MB/sec), 36.4 ms avg latency, 215.0 ms max latency.
694 records sent, 138.8 records/sec (13.55 MB/sec), 65.0 ms avg latency, 396.0 ms max latency.
674 records sent, 134.2 records/sec (13.10 MB/sec), 35.5 ms avg latency, 131.0 ms max latency.
614 records sent, 122.2 records/sec (11.93 MB/sec), 40.3 ms avg latency, 208.0 ms max latency.
640 records sent, 128.0 records/sec (12.50 MB/sec), 34.3 ms avg latency, 145.0 ms max latency.
647 records sent, 129.0 records/sec (12.60 MB/sec), 37.8 ms avg latency, 144.0 ms max latency.
575 records sent, 114.1 records/sec (11.15 MB/sec), 72.7 ms avg latency, 895.0 ms max latency.
752 records sent, 149.7 records/sec (14.62 MB/sec), 552.6 ms avg latency, 1660.0 ms max latency.
587 records sent, 117.4 records/sec (11.46 MB/sec), 32.8 ms avg latency, 151.0 ms max latency.
647 records sent, 129.3 records/sec (12.63 MB/sec), 37.7 ms avg latency, 180.0 ms max latency.
613 records sent, 122.1 records/sec (11.92 MB/sec), 30.0 ms avg latency, 95.0 ms max latency.
638 records sent, 127.6 records/sec (12.46 MB/sec), 31.8 ms avg latency, 124.0 ms max latency.
695 records sent, 138.6 records/sec (13.53 MB/sec), 38.4 ms avg latency, 157.0 ms max latency.
725 records sent, 144.9 records/sec (14.15 MB/sec), 33.8 ms avg latency, 207.0 ms max latency.
766 records sent, 153.0 records/sec (14.94 MB/sec), 25.6 ms avg latency, 94.0 ms max latency.
16666 records sent, 112.156451 records/sec (10.95 MB/sec), 365.19 ms avg latency, 9176.00 ms max latency, 34 ms 50th, 3841 ms 95th, 5483 ms 99th, 6553 ms 99.9th.
