producer_index=10
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 4609.0 ms avg latency, 4609.0 ms max latency.
41 records sent, 8.0 records/sec (0.78 MB/sec), 7658.8 ms avg latency, 16275.0 ms max latency.
102 records sent, 20.1 records/sec (1.96 MB/sec), 10680.2 ms avg latency, 12914.0 ms max latency.
180 records sent, 35.5 records/sec (3.47 MB/sec), 11052.4 ms avg latency, 12890.0 ms max latency.
264 records sent, 52.7 records/sec (5.14 MB/sec), 6531.3 ms avg latency, 9025.0 ms max latency.
299 records sent, 59.6 records/sec (5.82 MB/sec), 4364.0 ms avg latency, 5330.0 ms max latency.
401 records sent, 79.9 records/sec (7.80 MB/sec), 3472.6 ms avg latency, 4571.0 ms max latency.
471 records sent, 93.5 records/sec (9.13 MB/sec), 2160.7 ms avg latency, 3095.0 ms max latency.
386 records sent, 77.2 records/sec (7.53 MB/sec), 336.4 ms avg latency, 1359.0 ms max latency.
334 records sent, 66.6 records/sec (6.50 MB/sec), 104.6 ms avg latency, 373.0 ms max latency.
348 records sent, 69.5 records/sec (6.79 MB/sec), 120.6 ms avg latency, 452.0 ms max latency.
322 records sent, 63.5 records/sec (6.20 MB/sec), 85.2 ms avg latency, 297.0 ms max latency.
361 records sent, 71.7 records/sec (7.01 MB/sec), 80.4 ms avg latency, 234.0 ms max latency.
338 records sent, 67.2 records/sec (6.57 MB/sec), 71.0 ms avg latency, 175.0 ms max latency.
378 records sent, 75.2 records/sec (7.34 MB/sec), 94.1 ms avg latency, 338.0 ms max latency.
377 records sent, 75.2 records/sec (7.35 MB/sec), 77.6 ms avg latency, 248.0 ms max latency.
397 records sent, 79.1 records/sec (7.72 MB/sec), 84.3 ms avg latency, 414.0 ms max latency.
377 records sent, 75.1 records/sec (7.33 MB/sec), 70.1 ms avg latency, 236.0 ms max latency.
366 records sent, 73.0 records/sec (7.13 MB/sec), 82.3 ms avg latency, 314.0 ms max latency.
387 records sent, 77.4 records/sec (7.56 MB/sec), 55.8 ms avg latency, 265.0 ms max latency.
360 records sent, 71.7 records/sec (7.01 MB/sec), 52.2 ms avg latency, 154.0 ms max latency.
389 records sent, 77.4 records/sec (7.56 MB/sec), 65.9 ms avg latency, 201.0 ms max latency.
385 records sent, 76.9 records/sec (7.51 MB/sec), 64.5 ms avg latency, 332.0 ms max latency.
360 records sent, 71.5 records/sec (6.98 MB/sec), 41.5 ms avg latency, 145.0 ms max latency.
387 records sent, 77.2 records/sec (7.54 MB/sec), 45.2 ms avg latency, 126.0 ms max latency.
8333 records sent, 58.690952 records/sec (5.73 MB/sec), 1130.32 ms avg latency, 16275.00 ms max latency, 76 ms 50th, 6720 ms 95th, 11770 ms 99th, 12684 ms 99.9th.
