producer_index=12
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 17584.0 ms avg latency, 17584.0 ms max latency.
50 records sent, 9.2 records/sec (0.90 MB/sec), 8058.3 ms avg latency, 9616.0 ms max latency.
114 records sent, 22.7 records/sec (2.22 MB/sec), 11825.7 ms avg latency, 13538.0 ms max latency.
174 records sent, 34.7 records/sec (3.39 MB/sec), 12996.6 ms avg latency, 15359.0 ms max latency.
258 records sent, 51.3 records/sec (5.01 MB/sec), 8731.9 ms avg latency, 15703.0 ms max latency.
292 records sent, 58.1 records/sec (5.68 MB/sec), 6284.5 ms avg latency, 7300.0 ms max latency.
324 records sent, 64.6 records/sec (6.31 MB/sec), 5216.6 ms avg latency, 5993.0 ms max latency.
400 records sent, 78.7 records/sec (7.69 MB/sec), 4079.8 ms avg latency, 5108.0 ms max latency.
454 records sent, 90.0 records/sec (8.79 MB/sec), 2361.9 ms avg latency, 3578.0 ms max latency.
413 records sent, 82.2 records/sec (8.02 MB/sec), 495.0 ms avg latency, 1690.0 ms max latency.
332 records sent, 65.7 records/sec (6.41 MB/sec), 68.5 ms avg latency, 168.0 ms max latency.
309 records sent, 61.5 records/sec (6.01 MB/sec), 46.1 ms avg latency, 156.0 ms max latency.
311 records sent, 62.2 records/sec (6.07 MB/sec), 47.1 ms avg latency, 166.0 ms max latency.
353 records sent, 70.4 records/sec (6.88 MB/sec), 46.4 ms avg latency, 152.0 ms max latency.
344 records sent, 68.6 records/sec (6.70 MB/sec), 57.4 ms avg latency, 325.0 ms max latency.
381 records sent, 76.0 records/sec (7.43 MB/sec), 75.7 ms avg latency, 353.0 ms max latency.
350 records sent, 69.7 records/sec (6.81 MB/sec), 45.7 ms avg latency, 246.0 ms max latency.
369 records sent, 73.4 records/sec (7.17 MB/sec), 55.5 ms avg latency, 253.0 ms max latency.
377 records sent, 75.4 records/sec (7.36 MB/sec), 61.4 ms avg latency, 382.0 ms max latency.
373 records sent, 74.2 records/sec (7.24 MB/sec), 79.0 ms avg latency, 466.0 ms max latency.
369 records sent, 73.8 records/sec (7.21 MB/sec), 37.4 ms avg latency, 116.0 ms max latency.
373 records sent, 74.5 records/sec (7.27 MB/sec), 36.4 ms avg latency, 135.0 ms max latency.
370 records sent, 73.9 records/sec (7.21 MB/sec), 42.6 ms avg latency, 179.0 ms max latency.
406 records sent, 80.8 records/sec (7.89 MB/sec), 54.3 ms avg latency, 216.0 ms max latency.
386 records sent, 77.2 records/sec (7.53 MB/sec), 38.7 ms avg latency, 189.0 ms max latency.
400 records sent, 79.8 records/sec (7.79 MB/sec), 57.7 ms avg latency, 257.0 ms max latency.
8333 records sent, 57.357020 records/sec (5.60 MB/sec), 1563.41 ms avg latency, 17584.00 ms max latency, 58 ms 50th, 8048 ms 95th, 13129 ms 99th, 15016 ms 99.9th.
