run_id=security-overhead-final-factorial-tls-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial2
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-tls-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial2/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4997 records sent, 998.8 records/sec (0.98 MB/sec), 67.7 ms avg latency, 1144.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 5.8 ms avg latency, 16.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 5.7 ms avg latency, 18.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 5.5 ms avg latency, 16.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 5.6 ms avg latency, 17.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 5.7 ms avg latency, 33.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 5.7 ms avg latency, 32.0 ms max latency.
5006 records sent, 999.8 records/sec (0.98 MB/sec), 5.3 ms avg latency, 13.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.3 ms avg latency, 13.0 ms max latency.
5009 records sent, 1001.0 records/sec (0.98 MB/sec), 5.4 ms avg latency, 16.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 5.2 ms avg latency, 17.0 ms max latency.
5007 records sent, 1000.6 records/sec (0.98 MB/sec), 5.4 ms avg latency, 17.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 5.5 ms avg latency, 16.0 ms max latency.
4998 records sent, 999.6 records/sec (0.98 MB/sec), 5.4 ms avg latency, 15.0 ms max latency.
5010 records sent, 1000.8 records/sec (0.98 MB/sec), 5.3 ms avg latency, 15.0 ms max latency.
5003 records sent, 999.8 records/sec (0.98 MB/sec), 5.8 ms avg latency, 220.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 5.4 ms avg latency, 13.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 5.4 ms avg latency, 20.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 5.4 ms avg latency, 15.0 ms max latency.
100000 records sent, 999.730073 records/sec (0.98 MB/sec), 8.66 ms avg latency, 1144.00 ms max latency, 5 ms 50th, 9 ms 95th, 236 ms 99th, 291 ms 99.9th.
