producer_index=6
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 16110.0 ms avg latency, 16110.0 ms max latency.
1754 records sent, 349.1 records/sec (0.34 MB/sec), 3242.3 ms avg latency, 4882.0 ms max latency.
419 records sent, 83.8 records/sec (0.08 MB/sec), 36.4 ms avg latency, 109.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 20.0 ms avg latency, 62.0 ms max latency.
416 records sent, 82.7 records/sec (0.08 MB/sec), 18.4 ms avg latency, 87.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 16.6 ms avg latency, 67.0 ms max latency.
418 records sent, 83.4 records/sec (0.08 MB/sec), 15.2 ms avg latency, 53.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 14.6 ms avg latency, 54.0 ms max latency.
416 records sent, 82.9 records/sec (0.08 MB/sec), 14.9 ms avg latency, 43.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 14.5 ms avg latency, 44.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 13.6 ms avg latency, 50.0 ms max latency.
417 records sent, 83.3 records/sec (0.08 MB/sec), 13.4 ms avg latency, 48.0 ms max latency.
417 records sent, 83.2 records/sec (0.08 MB/sec), 14.1 ms avg latency, 67.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 13.2 ms avg latency, 57.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 12.3 ms avg latency, 61.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 12.3 ms avg latency, 47.0 ms max latency.
414 records sent, 82.4 records/sec (0.08 MB/sec), 12.7 ms avg latency, 39.0 ms max latency.
8333 records sent, 82.917898 records/sec (0.08 MB/sec), 697.00 ms avg latency, 16110.00 ms max latency, 15 ms 50th, 4146 ms 95th, 4601 ms 99th, 4828 ms 99.9th.
