producer_index=7
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 17107.0 ms avg latency, 17107.0 ms max latency.
56 records sent, 11.1 records/sec (1.08 MB/sec), 7005.5 ms avg latency, 8956.0 ms max latency.
162 records sent, 31.5 records/sec (3.08 MB/sec), 8696.0 ms avg latency, 10070.0 ms max latency.
264 records sent, 52.3 records/sec (5.10 MB/sec), 6637.1 ms avg latency, 9593.0 ms max latency.
294 records sent, 58.8 records/sec (5.74 MB/sec), 4094.5 ms avg latency, 5376.0 ms max latency.
353 records sent, 69.9 records/sec (6.83 MB/sec), 2214.2 ms avg latency, 4206.0 ms max latency.
306 records sent, 61.2 records/sec (5.97 MB/sec), 404.6 ms avg latency, 1499.0 ms max latency.
244 records sent, 48.7 records/sec (4.75 MB/sec), 64.7 ms avg latency, 211.0 ms max latency.
313 records sent, 60.8 records/sec (5.94 MB/sec), 69.7 ms avg latency, 223.0 ms max latency.
297 records sent, 58.6 records/sec (5.72 MB/sec), 63.5 ms avg latency, 282.0 ms max latency.
297 records sent, 59.2 records/sec (5.78 MB/sec), 74.4 ms avg latency, 346.0 ms max latency.
274 records sent, 54.3 records/sec (5.30 MB/sec), 71.5 ms avg latency, 263.0 ms max latency.
306 records sent, 61.1 records/sec (5.97 MB/sec), 51.1 ms avg latency, 189.0 ms max latency.
323 records sent, 64.5 records/sec (6.30 MB/sec), 55.1 ms avg latency, 240.0 ms max latency.
304 records sent, 60.2 records/sec (5.88 MB/sec), 73.2 ms avg latency, 382.0 ms max latency.
322 records sent, 64.2 records/sec (6.27 MB/sec), 49.2 ms avg latency, 192.0 ms max latency.
327 records sent, 65.3 records/sec (6.38 MB/sec), 55.8 ms avg latency, 267.0 ms max latency.
316 records sent, 63.1 records/sec (6.16 MB/sec), 45.0 ms avg latency, 162.0 ms max latency.
319 records sent, 62.8 records/sec (6.13 MB/sec), 48.5 ms avg latency, 192.0 ms max latency.
330 records sent, 64.7 records/sec (6.32 MB/sec), 56.2 ms avg latency, 228.0 ms max latency.
339 records sent, 67.7 records/sec (6.61 MB/sec), 53.4 ms avg latency, 214.0 ms max latency.
319 records sent, 63.8 records/sec (6.23 MB/sec), 48.3 ms avg latency, 178.0 ms max latency.
324 records sent, 64.7 records/sec (6.32 MB/sec), 36.4 ms avg latency, 168.0 ms max latency.
295 records sent, 59.0 records/sec (5.76 MB/sec), 46.2 ms avg latency, 239.0 ms max latency.
309 records sent, 61.5 records/sec (6.00 MB/sec), 40.1 ms avg latency, 186.0 ms max latency.
340 records sent, 66.7 records/sec (6.52 MB/sec), 45.2 ms avg latency, 158.0 ms max latency.
331 records sent, 65.8 records/sec (6.43 MB/sec), 55.1 ms avg latency, 317.0 ms max latency.
346 records sent, 69.1 records/sec (6.74 MB/sec), 42.4 ms avg latency, 183.0 ms max latency.
8333 records sent, 52.348555 records/sec (5.11 MB/sec), 726.19 ms avg latency, 17107.00 ms max latency, 50 ms 50th, 5122 ms 95th, 8952 ms 99th, 9700 ms 99.9th.
