producer_index=1
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.00 MB/sec), 17480.0 ms avg latency, 17480.0 ms max latency.
456 records sent, 90.6 records/sec (0.89 MB/sec), 6427.5 ms avg latency, 8061.0 ms max latency.
1296 records sent, 258.9 records/sec (2.53 MB/sec), 8519.0 ms avg latency, 10677.0 ms max latency.
996 records sent, 198.2 records/sec (1.94 MB/sec), 2575.1 ms avg latency, 8446.0 ms max latency.
419 records sent, 83.6 records/sec (0.82 MB/sec), 43.4 ms avg latency, 121.0 ms max latency.
427 records sent, 85.0 records/sec (0.83 MB/sec), 29.5 ms avg latency, 91.0 ms max latency.
426 records sent, 84.9 records/sec (0.83 MB/sec), 20.8 ms avg latency, 81.0 ms max latency.
420 records sent, 84.0 records/sec (0.82 MB/sec), 16.4 ms avg latency, 62.0 ms max latency.
421 records sent, 84.0 records/sec (0.82 MB/sec), 15.9 ms avg latency, 65.0 ms max latency.
422 records sent, 84.2 records/sec (0.82 MB/sec), 17.3 ms avg latency, 99.0 ms max latency.
422 records sent, 84.3 records/sec (0.82 MB/sec), 17.3 ms avg latency, 61.0 ms max latency.
421 records sent, 84.1 records/sec (0.82 MB/sec), 17.8 ms avg latency, 79.0 ms max latency.
421 records sent, 83.7 records/sec (0.82 MB/sec), 15.4 ms avg latency, 48.0 ms max latency.
426 records sent, 85.0 records/sec (0.83 MB/sec), 15.8 ms avg latency, 65.0 ms max latency.
423 records sent, 84.5 records/sec (0.83 MB/sec), 15.9 ms avg latency, 45.0 ms max latency.
421 records sent, 84.1 records/sec (0.82 MB/sec), 14.7 ms avg latency, 46.0 ms max latency.
421 records sent, 84.0 records/sec (0.82 MB/sec), 15.0 ms avg latency, 69.0 ms max latency.
8334 records sent, 83.662939 records/sec (0.82 MB/sec), 1999.39 ms avg latency, 17480.00 ms max latency, 22 ms 50th, 9097 ms 95th, 10362 ms 99th, 10649 ms 99.9th.
