producer_index=11
producer_count=12
producer_records=8333
producer_throughput=833
[2026-04-24 19:45:08,458] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.91:9094 (id: -3 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.1 records/sec (0.01 MB/sec), 19292.0 ms avg latency, 19292.0 ms max latency.
59 records sent, 11.0 records/sec (1.08 MB/sec), 6237.8 ms avg latency, 7875.0 ms max latency.
126 records sent, 25.0 records/sec (2.44 MB/sec), 9335.1 ms avg latency, 10786.0 ms max latency.
144 records sent, 28.7 records/sec (2.80 MB/sec), 11701.2 ms avg latency, 13383.0 ms max latency.
132 records sent, 25.2 records/sec (2.46 MB/sec), 12541.2 ms avg latency, 14318.0 ms max latency.
144 records sent, 27.7 records/sec (2.71 MB/sec), 12122.3 ms avg latency, 12602.0 ms max latency.
186 records sent, 37.0 records/sec (3.62 MB/sec), 11757.8 ms avg latency, 13113.0 ms max latency.
382 records sent, 74.4 records/sec (7.27 MB/sec), 6229.5 ms avg latency, 10856.0 ms max latency.
431 records sent, 85.7 records/sec (8.36 MB/sec), 3041.0 ms avg latency, 4263.0 ms max latency.
421 records sent, 82.8 records/sec (8.09 MB/sec), 1169.5 ms avg latency, 2303.0 ms max latency.
379 records sent, 75.3 records/sec (7.35 MB/sec), 139.6 ms avg latency, 419.0 ms max latency.
349 records sent, 69.4 records/sec (6.77 MB/sec), 81.9 ms avg latency, 323.0 ms max latency.
341 records sent, 68.1 records/sec (6.65 MB/sec), 55.1 ms avg latency, 138.0 ms max latency.
330 records sent, 65.9 records/sec (6.44 MB/sec), 46.5 ms avg latency, 149.0 ms max latency.
361 records sent, 71.8 records/sec (7.02 MB/sec), 62.3 ms avg latency, 394.0 ms max latency.
386 records sent, 77.2 records/sec (7.54 MB/sec), 89.0 ms avg latency, 543.0 ms max latency.
349 records sent, 69.2 records/sec (6.76 MB/sec), 53.7 ms avg latency, 219.0 ms max latency.
376 records sent, 75.1 records/sec (7.34 MB/sec), 48.0 ms avg latency, 185.0 ms max latency.
367 records sent, 73.3 records/sec (7.16 MB/sec), 70.1 ms avg latency, 315.0 ms max latency.
385 records sent, 76.9 records/sec (7.51 MB/sec), 54.4 ms avg latency, 258.0 ms max latency.
420 records sent, 83.9 records/sec (8.19 MB/sec), 81.5 ms avg latency, 336.0 ms max latency.
369 records sent, 73.3 records/sec (7.16 MB/sec), 36.4 ms avg latency, 147.0 ms max latency.
368 records sent, 73.3 records/sec (7.16 MB/sec), 39.6 ms avg latency, 154.0 ms max latency.
386 records sent, 75.7 records/sec (7.39 MB/sec), 37.2 ms avg latency, 139.0 ms max latency.
378 records sent, 75.6 records/sec (7.38 MB/sec), 47.9 ms avg latency, 158.0 ms max latency.
423 records sent, 84.5 records/sec (8.25 MB/sec), 33.0 ms avg latency, 161.0 ms max latency.
8333 records sent, 55.901788 records/sec (5.46 MB/sec), 1607.16 ms avg latency, 19292.00 ms max latency, 55 ms 50th, 11747 ms 95th, 12763 ms 99th, 13894 ms 99.9th.
