producer_index=2
producer_count=12
producer_records=8334
producer_throughput=84
[2026-04-25 03:48:42,038] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.238:9094 (id: -2 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.1 records/sec (0.00 MB/sec), 19335.0 ms avg latency, 19335.0 ms max latency.
102 records sent, 19.6 records/sec (0.19 MB/sec), 7099.8 ms avg latency, 9368.0 ms max latency.
211 records sent, 42.2 records/sec (0.41 MB/sec), 10413.3 ms avg latency, 11671.0 ms max latency.
430 records sent, 85.3 records/sec (0.83 MB/sec), 12928.0 ms avg latency, 14362.0 ms max latency.
818 records sent, 162.7 records/sec (1.59 MB/sec), 14508.1 ms avg latency, 15564.0 ms max latency.
1073 records sent, 214.4 records/sec (2.09 MB/sec), 14787.8 ms avg latency, 16981.0 ms max latency.
1123 records sent, 224.6 records/sec (2.19 MB/sec), 8948.7 ms avg latency, 11727.0 ms max latency.
851 records sent, 169.1 records/sec (1.65 MB/sec), 1941.0 ms avg latency, 5448.0 ms max latency.
426 records sent, 85.2 records/sec (0.83 MB/sec), 26.3 ms avg latency, 163.0 ms max latency.
420 records sent, 83.5 records/sec (0.82 MB/sec), 27.0 ms avg latency, 129.0 ms max latency.
419 records sent, 83.5 records/sec (0.82 MB/sec), 22.3 ms avg latency, 117.0 ms max latency.
426 records sent, 84.8 records/sec (0.83 MB/sec), 23.3 ms avg latency, 109.0 ms max latency.
423 records sent, 84.5 records/sec (0.82 MB/sec), 21.9 ms avg latency, 143.0 ms max latency.
421 records sent, 84.1 records/sec (0.82 MB/sec), 19.2 ms avg latency, 94.0 ms max latency.
421 records sent, 84.1 records/sec (0.82 MB/sec), 17.8 ms avg latency, 92.0 ms max latency.
420 records sent, 84.0 records/sec (0.82 MB/sec), 18.6 ms avg latency, 77.0 ms max latency.
8334 records sent, 83.550547 records/sec (0.82 MB/sec), 5761.53 ms avg latency, 19335.00 ms max latency, 1867 ms 50th, 15587 ms 95th, 16168 ms 99th, 16876 ms 99.9th.
